gen;size
0;1000
1;1000
2;1000
3;1000
4;1000
5;1000
6;1000
7;1000
8;1000
9;1000
10;1000
11;1000
12;1000
13;1000
14;1000
15;999
16;1032
17;1032
18;1032
19;1032
20;1032
21;1032
22;1032
23;1032
24;1032
25;1032
26;1032
27;1032
28;1032
29;1032
30;1032
31;1032
32;1032
33;1032
34;1032
35;1032
36;1032
37;1032
38;1032
39;1032
40;1032
41;1032
42;1032
43;1032
44;1032
45;1032
46;1032
47;1032
48;1032
49;1032
50;1032
51;1032
52;1032
53;1032
54;1032
55;1032
56;1032
57;1032
58;1032
59;1032
60;1032
61;1032
62;1032
63;1032
64;1032
65;1032
66;1032
67;1032
68;1032
69;1032
70;1032
71;1032
72;1032
73;1032
74;1032
75;1032
76;1032
77;1032
78;1032
79;1032
80;1032
81;1032
82;1032
83;1032
84;1032
85;1032
86;1032
87;1032
88;1032
89;1032
90;1032
91;1032
92;1032
93;1032
94;1032
95;1032
96;1032
97;1032
98;1032
99;1032
100;1032
101;1032
102;1032
103;1032
104;1032
105;1032
106;1032
107;1032
108;1032
109;1032
110;1032
111;1032
112;1032
113;1032
114;1032
115;1032
116;1032
117;1032
118;1032
119;1032
120;1032
121;1032
122;1032
123;1032
124;1032
125;1032
126;1032
127;1032
128;1032
129;1032
130;1032
131;1032
132;1032
133;1032
134;1032
135;1032
136;1032
137;1032
138;1032
139;1032
140;1032
141;1032
142;1032
143;1032
144;1032
145;1032
146;1032
147;1032
148;1032
149;1032
150;1032
151;1032
152;1032
153;1032
154;1032
155;1032
156;1032
157;1032
158;1032
159;1032
160;1032
161;1032
162;1032
163;1032
164;1032
165;1032
166;1032
167;1032
168;1032
169;1032
170;1032
171;1032
172;1032
173;1032
174;1032
175;1032
176;1032
177;1032
178;1032
179;1032
180;1032
181;1032
182;1032
183;1032
184;1032
185;1032
186;1032
187;1032
188;1032
189;1032
190;1032
191;1032
192;1032
193;1032
194;1032
195;1032
196;1032
197;1032
198;1032
199;1032
200;1032
201;1032
202;1032
203;1032
204;1032
205;1032
206;1032
207;1032
208;1032
209;1032
210;1032
211;1032
212;1032
213;1032
214;1032
215;1032
216;1032
217;1032
218;1032
219;1032
220;1032
221;1032
222;1032
223;1032
224;1032
225;1032
226;1032
227;1032
228;1032
229;1032
230;1032
231;1032
232;1032
233;1032
234;1032
235;1032
236;1032
237;1032
238;1032
239;1032
240;1032
241;1032
242;1032
243;1032
244;1032
245;1032
246;1032
247;1032
248;1032
249;1032
250;1032
251;1032
252;1032
253;1032
254;1032
255;1032
256;1032
257;1032
258;1032
259;1032
260;1032
261;1032
262;1032
263;1032
264;1032
265;1032
266;1032
267;1032
268;1032
269;1032
270;1032
271;1032
272;1032
273;1032
274;1032
275;1032
276;1032
277;1032
278;1032
279;1032
280;1032
281;1032
282;1032
283;1032
284;1032
285;1032
286;1032
287;1032
288;1032
289;1032
290;1032
291;1032
292;1032
293;1032
294;1032
295;1032
296;1032
297;1032
298;1032
299;1032
300;1032
301;1032
302;1032
303;1032
304;1032
305;1032
306;1032
307;1032
308;1032
309;1032
310;1032
311;1032
312;1032
313;1032
314;1032
315;1032
316;1032
317;1032
318;1032
319;1032
320;1032
321;1032
322;1032
323;1032
324;1032
325;1032
326;1032
327;1032
328;1032
329;1032
330;1032
331;1032
332;1032
333;1032
334;1032
335;1032
336;1032
337;1032
338;1032
339;1032
340;1032
341;1032
342;1032
343;1032
344;1032
345;1032
346;1032
347;1032
348;1032
349;1032
350;1032
351;1032
352;1032
353;1032
354;1032
355;1032
356;1032
357;1032
358;1032
359;1032
360;1032
361;1032
362;1032
363;1032
364;1032
365;1032
366;1032
367;1032
368;1032
369;1032
370;1032
371;1032
372;1032
373;1032
374;1032
375;1032
376;1032
377;1032
378;1032
379;1032
380;1032
381;1032
382;1032
383;1032
384;1032
385;1032
386;1032
387;1032
388;1032
389;1032
390;1032
391;1032
392;1032
393;1032
394;1032
395;1032
396;1032
397;1032
398;1032
399;1032
400;1032
401;1032
402;1032
403;1032
404;1032
405;1032
406;1032
407;1032
408;1032
409;1032
410;1032
411;1032
412;1032
413;1032
414;1032
415;1032
416;1032
417;1032
418;1032
419;1032
420;1032
421;1032
422;1032
423;1032
424;1032
425;1032
426;1032
427;1032
428;1032
429;1032
430;1032
431;1032
432;1032
433;1032
434;1032
435;1032
436;1032
437;1032
438;1032
439;1032
440;1032
441;1032
442;1032
443;1032
444;1032
445;1032
446;1032
447;1032
448;1032
449;1032
450;1032
451;1032
452;1032
453;1032
454;1032
455;1032
456;1032
457;1032
458;1032
459;1032
460;1032
461;1032
462;1032
463;1032
464;1032
465;1032
466;1032
467;1032
468;1032
469;1032
470;1032
471;1032
472;1032
473;1032
474;1032
475;1032
476;1032
477;1032
478;1032
479;1032
480;1032
481;1032
482;1032
483;1032
484;1032
485;1032
486;1032
487;1032
488;1032
489;1032
490;1032
491;1032
492;1032
493;1032
494;1032
495;1032
496;1032
497;1032
498;1032
499;1032
500;1032
501;1032
502;1032
503;1032
504;1032
505;1032
506;1032
507;1032
508;1032
509;1032
510;1032
511;1032
512;1032
513;1032
514;1032
515;1032
516;1032
517;1032
518;1032
519;1032
520;1032
521;1032
522;1032
523;1032
524;1032
525;1032
526;1032
527;1032
528;1032
529;1032
530;1032
531;1032
532;1032
533;1032
534;1032
535;1032
536;1032
537;1032
538;1032
539;1032
540;1032
541;1032
542;1032
543;1032
544;1032
545;1032
546;1032
547;1032
548;1032
549;1032
550;1032
551;1032
552;1032
553;1032
554;1032
555;1032
556;1032
557;1032
558;1032
559;1032
560;1032
561;1032
562;1032
563;1032
564;1032
565;1032
566;1032
567;1032
568;1032
569;1032
570;1032
571;1032
572;1032
573;1032
574;1032
575;1032
576;1032
577;1032
578;1032
579;1032
580;1032
581;1032
582;1032
583;1032
584;1032
585;1032
586;1032
587;1032
588;1032
589;1032
590;1032
591;1032
592;1032
593;1032
594;1032
595;1032
596;1032
597;1032
598;1032
599;1032
600;1032
601;1032
602;1032
603;1032
604;1032
605;1032
606;1032
607;1032
608;1032
609;1032
610;1032
611;1032
612;1032
613;1032
614;1032
615;1032
616;1032
617;1032
618;1032
619;1032
620;1032
621;1032
622;1032
623;1032
624;1032
625;1032
626;1032
627;1032
628;1032
629;1032
630;1032
631;1032
632;1032
633;1032
634;1032
635;1032
636;1032
637;1032
638;1032
639;1032
640;1032
641;1032
642;1032
643;1032
644;1032
645;1032
646;1032
647;1032
648;1032
649;1032
650;1032
651;1032
652;1032
653;1032
654;1032
655;1032
656;1032
657;1032
658;1032
659;1032
660;1032
661;1032
662;1032
663;1032
664;1032
665;1032
666;1032
667;1032
668;1032
669;1032
670;1032
671;1032
672;1032
673;1032
674;1032
675;1032
676;1032
677;1032
678;1032
679;1032
680;1032
681;1032
682;1032
683;1032
684;1032
685;1032
686;1032
687;1032
688;1032
689;1032
690;1032
691;1032
692;1032
693;1032
694;1032
695;1032
696;1032
697;1032
698;1032
699;1032
700;1032
701;1032
702;1032
703;1032
704;1032
705;1032
706;1032
707;1032
708;1032
709;1032
710;1032
711;1032
712;1032
713;1032
714;1032
715;1032
716;1032
717;1032
718;1032
719;1032
720;1032
721;1032
722;1032
723;1032
724;1032
725;1032
726;1032
727;1032
728;1032
729;1032
730;1032
731;1032
732;1032
733;1032
734;1032
735;1032
736;1032
737;1032
738;1032
739;1032
740;1032
741;1032
742;1032
743;1032
744;1032
745;1032
746;1032
747;1032
748;1032
749;1032
750;1032
751;1032
752;1032
753;1032
754;1032
755;1032
756;1032
757;1032
758;1032
759;1032
760;1032
761;1032
762;1032
763;1032
764;1032
765;1032
766;1032
767;1032
768;1032
769;1032
770;1032
771;1031
772;1031
773;1031
774;1031
775;1031
776;1031
777;1031
778;1031
779;1031
780;1031
781;1031
782;1031
783;1031
784;1031
785;1031
786;1031
787;1031
788;1031
789;1031
790;1031
791;1031
792;1031
793;1031
794;1031
795;1031
796;1031
797;1031
798;1031
799;1031
800;1031
801;1031
802;1031
803;1031
804;1031
805;1031
806;1031
807;1031
808;1031
809;1031
810;1031
811;1031
812;1031
813;1031
814;1031
815;1031
816;1031
817;1031
818;1031
819;1031
820;1031
821;1031
822;1031
823;1031
824;1031
825;1031
826;1031
827;1031
828;1031
829;1031
830;1031
831;1031
832;1031
833;1031
834;1031
835;1031
836;1031
837;1031
838;1031
839;1031
840;1031
841;1031
842;1031
843;1031
844;1031
845;1031
846;1031
847;1031
848;1031
849;1031
850;1031
851;1031
852;1031
853;1031
854;1031
855;1031
856;1031
857;1031
858;1031
859;1031
860;1031
861;1031
862;1031
863;1031
864;1031
865;1031
866;1031
867;1031
868;1031
869;1031
870;1031
871;1031
872;1031
873;1031
874;1031
875;1031
876;1031
877;1031
878;1031
879;1031
880;1031
881;1031
882;1031
883;1031
884;1031
885;1031
886;1031
887;1031
888;1031
889;1031
890;1031
891;1031
892;1031
893;1031
894;1031
895;1031
896;1031
897;1031
898;1031
899;1031
900;1031
901;1031
902;1031
903;1031
904;1031
905;1031
906;1031
907;1031
908;1031
909;1031
910;1031
911;1031
912;1031
913;1031
914;1031
915;1031
916;1031
917;1031
918;1031
919;1031
920;1031
921;1031
922;1031
923;1031
924;1031
925;1031
926;1031
927;1031
928;1031
929;1031
930;1031
931;1031
932;1031
933;1031
934;1031
935;1031
936;1031
937;1031
938;1031
939;1031
940;1031
941;1031
942;1031
943;1031
944;1031
945;1031
946;1030
947;1030
948;1030
949;1030
950;1030
951;1030
952;1030
953;1030
954;1030
955;1030
956;1030
957;1030
958;1030
959;1030
960;1030
961;1030
962;1030
963;1030
964;1030
965;1030
966;1030
967;1030
968;1030
969;1030
970;1030
971;1030
972;1030
973;1030
974;1030
975;1030
976;1030
977;1030
978;1030
979;1030
980;1030
981;1030
982;1030
983;1030
984;1030
985;1030
986;1030
987;1030
988;1030
989;1030
990;1030
991;1030
992;1029
993;1029
994;1029
995;1029
996;1029
997;1029
998;1029
999;1029
