gen;size
0;1011
1;1007
2;906
3;1037
4;973
5;1075
6;965
7;1039
8;1010
9;1003
10;995
11;1020
12;1069
13;1037
14;962
15;997
16;991
17;967
18;1041
19;1029
20;963
21;1009
22;955
23;989
24;1052
25;962
26;1040
27;969
28;982
29;984
30;979
31;965
32;996
33;1016
34;987
35;970
36;980
37;1007
38;960
39;1028
40;1016
41;1019
42;907
43;955
44;1004
45;980
46;1045
47;1012
48;957
49;971
50;977
51;962
52;1025
53;1026
54;965
55;1067
56;1044
57;980
58;1020
59;988
60;944
61;994
62;1056
63;1018
64;998
65;1021
66;1048
67;1008
68;952
69;966
70;1041
71;1009
72;1009
73;980
74;1084
75;1006
76;992
77;972
78;970
79;1019
80;1070
81;963
82;1017
83;1000
84;976
85;956
86;1058
87;926
88;953
89;1036
90;981
91;1025
92;956
93;998
94;1062
95;981
96;995
97;968
98;946
99;976
100;1017
101;1057
102;1031
103;1032
104;1010
105;1012
106;1022
107;1009
108;1021
109;977
110;1030
111;980
112;965
113;1037
114;1006
115;1041
116;979
117;951
118;1038
119;1008
120;985
121;1024
122;986
123;1019
124;968
125;984
126;996
127;991
128;1047
129;973
130;987
131;1003
132;1033
133;994
134;1011
135;1048
136;1011
137;999
138;992
139;1021
140;974
141;981
142;1008
143;943
144;1015
145;981
146;987
147;985
148;998
149;1002
150;1043
151;1043
152;1031
153;1041
154;1051
155;956
156;987
157;1032
158;1029
159;990
160;1032
161;1020
162;982
163;1013
164;958
165;979
166;1027
167;1052
168;926
169;1061
170;1008
171;929
172;998
173;1023
174;1004
175;1017
176;1021
177;1032
178;982
179;1036
180;961
181;1035
182;1031
183;969
184;1005
185;1021
186;1047
187;978
188;977
189;951
190;1000
191;981
192;1019
193;993
194;1017
195;958
196;993
197;919
198;940
199;1002
200;988
201;992
202;960
203;1010
204;989
205;955
206;981
207;994
208;986
209;1057
210;1011
211;1004
212;969
213;1011
214;1021
215;978
216;1019
217;971
218;955
219;997
220;999
221;1041
222;1017
223;1035
224;955
225;962
226;1025
227;1011
228;984
229;1012
230;968
231;975
232;1047
233;945
234;974
235;999
236;1014
237;991
238;957
239;992
240;1004
241;995
242;1014
243;1026
244;1030
245;1025
246;1006
247;1023
248;1024
249;961
250;987
251;1045
252;1004
253;993
254;1018
255;1025
256;965
257;980
258;986
259;952
260;1042
261;967
262;1065
263;959
264;980
265;979
266;984
267;1010
268;1048
269;921
270;1014
271;978
272;977
273;1030
274;1009
275;987
276;1055
277;995
278;976
279;1004
280;973
281;997
282;981
283;1000
284;976
285;986
286;995
287;995
288;964
289;995
290;995
291;979
292;1012
293;1011
294;1022
295;999
296;994
297;1007
298;966
299;996
300;980
301;968
302;998
303;1003
304;1024
305;984
306;1033
307;935
308;1042
309;957
310;978
311;1012
312;992
313;1003
314;1008
315;1032
316;1050
