gen;size
0;1000
1;1000
2;1000
3;1000
4;1000
5;1000
6;1000
7;1000
8;1000
9;1000
10;1000
11;1000
12;1000
13;1000
14;1000
15;1000
16;1000
17;1000
18;1000
19;1000
20;1000
21;1000
22;1000
23;1000
24;1000
25;1000
26;1000
27;1000
28;1000
29;1000
30;1000
31;1000
32;1000
33;1000
34;1000
35;1000
36;1000
37;1000
38;1000
39;1000
40;1000
41;1000
42;1000
43;1000
44;1000
45;1000
46;1000
47;1000
48;1000
49;1000
50;1000
51;1000
52;1000
53;1000
54;1000
55;1000
56;1000
57;1000
58;1000
59;1000
60;1000
61;1000
62;1000
63;1000
64;1000
65;1000
66;1000
67;1000
68;1000
69;1000
70;1000
71;1000
72;1000
73;1000
74;1000
75;1000
76;1000
77;1000
78;1000
79;1000
80;1000
81;999
82;1033
83;1033
84;1033
85;1033
86;1033
87;1033
88;1033
89;1033
90;1033
91;1033
92;1033
93;1033
94;1033
95;1033
96;1033
97;1033
98;1033
99;1033
100;1033
101;1033
102;1033
103;1033
104;1033
105;1033
106;1033
107;1033
108;1033
109;1033
110;1033
111;1033
112;1033
113;1033
114;1033
115;1033
116;1033
117;1033
118;1033
119;1033
120;1033
121;1033
122;1033
123;1033
124;1033
125;1033
126;1033
127;1033
128;1033
129;1033
130;1033
131;1033
132;1033
133;1033
134;1033
135;1033
136;1032
137;1032
138;1032
139;1032
140;1032
141;1032
142;1032
143;1032
144;1032
145;1032
146;1032
147;1032
148;1032
149;1032
150;1032
151;1032
152;1032
153;1032
154;1032
155;1032
156;1032
157;1032
158;1032
159;1032
160;1032
161;1032
162;1032
163;1032
164;1032
165;1032
166;1032
167;1032
168;1032
169;1032
170;1032
171;1032
172;1032
173;1032
174;1032
175;1032
176;1032
177;1032
178;1032
179;1032
180;1032
181;1032
182;1032
183;1032
184;1032
185;1032
186;1032
187;1032
188;1032
189;1032
190;1032
191;1032
192;1032
193;1032
194;1032
195;1032
196;1032
197;1032
198;1032
199;1032
200;1032
201;1032
202;1032
203;1032
204;1032
205;1031
206;1031
207;1031
208;1031
209;1031
210;1031
211;1031
212;1031
213;1031
214;1031
215;1031
216;1031
217;1031
218;1031
219;1031
220;1031
221;1031
222;1031
223;1031
224;1031
225;1031
226;1031
227;1031
228;1031
229;1031
230;1031
231;1031
232;1031
233;1031
234;1031
235;1031
236;1031
237;1031
238;1031
239;1031
240;1031
241;1031
242;1031
243;1031
244;1031
245;1031
246;1031
247;1031
248;1031
249;1031
250;1031
251;1031
252;1031
253;1031
254;1031
255;1031
256;1031
257;1031
258;1031
259;1031
260;1031
261;1031
262;1031
263;1031
264;1031
265;1031
266;1031
267;1031
268;1031
269;1031
270;1031
271;1031
272;1031
273;1031
274;1031
275;1031
276;1031
277;1031
278;1031
279;1031
280;1031
281;1031
282;1031
283;1031
284;1031
285;1031
286;1031
287;1031
288;1031
289;1031
290;1031
291;1031
292;1031
293;1031
294;1031
295;1031
296;1031
297;1031
298;1031
299;1031
300;1031
301;1031
302;1031
303;1031
304;1031
305;1031
306;1031
307;1031
308;1031
309;1031
310;1031
311;1031
312;1031
313;1031
314;1031
315;1031
316;1031
317;1031
318;1031
319;1031
320;1031
321;1031
322;1031
323;1031
324;1031
325;1031
326;1031
327;1031
328;1031
329;1031
330;1031
331;1031
332;1031
333;1031
334;1031
335;1031
336;1031
337;1031
338;1031
339;1031
340;1031
341;1031
342;1031
343;1031
344;1031
345;1031
346;1031
347;1031
348;1030
349;1030
350;1030
351;1030
352;1030
353;1030
354;1030
355;1030
356;1030
357;1030
358;1030
359;1030
360;1030
361;1030
362;1030
363;1030
364;1030
365;1030
366;1030
367;1030
368;1030
369;1030
370;1030
371;1030
372;1030
373;1030
374;1030
375;1030
376;1030
377;1030
378;1030
379;1030
380;1030
381;1030
382;1030
383;1030
384;1030
385;1030
386;1030
387;1030
388;1030
389;1030
390;1030
391;1030
392;1030
393;1030
394;1030
395;1030
396;1030
397;1030
398;1030
399;1030
400;1030
401;1030
402;1030
403;1030
404;1030
405;1030
406;1030
407;1030
408;1030
409;1030
410;1030
411;1030
412;1030
413;1030
414;1030
415;1030
416;1030
417;1030
418;1030
419;1030
420;1030
421;1030
422;1030
423;1030
424;1030
425;1030
426;1030
427;1030
428;1030
429;1030
430;1030
431;1030
432;1030
433;1030
434;1030
435;1030
436;1030
437;1030
438;1030
439;1030
440;1030
441;1030
442;1030
443;1030
444;1030
445;1030
446;1030
447;1029
448;1029
449;1029
450;1029
451;1029
452;1029
453;1029
454;1029
455;1029
456;1029
457;1029
458;1029
459;1029
460;1029
461;1029
462;1029
463;1029
464;1029
465;1029
466;1029
467;1029
468;1029
469;1029
470;1029
471;1029
472;1029
473;1029
474;1029
475;1029
476;1029
477;1029
478;1029
479;1029
480;1029
481;1029
482;1029
483;1029
484;1029
485;1029
486;1029
487;1029
488;1029
489;1029
490;1029
491;1029
492;1029
493;1029
494;1029
495;1029
496;1029
497;1029
498;1029
499;1029
500;1029
501;1029
502;1029
503;1029
504;1029
505;1029
506;1029
507;1029
508;1029
509;1029
510;1029
511;1029
512;1029
513;1029
514;1029
515;1029
516;1029
517;1029
518;1029
519;1029
520;1029
521;1029
522;1029
523;1029
524;1029
525;1029
526;1029
527;1029
528;1029
529;1029
530;1029
531;1029
532;1029
533;1029
534;1029
535;1029
536;1029
537;1029
538;1029
539;1029
540;1029
541;1029
542;1029
543;1029
544;1029
545;1029
546;1029
547;1029
548;1029
549;1029
550;1029
551;1029
552;1029
553;1029
554;1029
555;1029
556;1029
557;1029
558;1029
559;1029
560;1029
561;1029
562;1029
563;1029
564;1029
565;1029
566;1029
567;1029
568;1029
569;1029
570;1029
571;1029
572;1029
573;1029
574;1029
575;1029
576;1029
577;1029
578;1029
579;1029
580;1029
581;1029
582;1029
583;1029
584;1029
585;1029
586;1029
587;1029
588;1029
589;1029
590;1029
591;1029
592;1029
593;1029
594;1029
595;1029
596;1029
597;1029
598;1029
599;1029
600;1029
601;1029
602;1029
603;1029
604;1029
605;1029
606;1029
607;1029
608;1029
609;1029
610;1029
611;1029
612;1029
613;1029
614;1029
615;1029
616;1029
617;1029
618;1029
619;1029
620;1029
621;1029
622;1029
623;1029
624;1029
625;1029
626;1029
627;1029
628;1029
629;1029
630;1029
631;1029
632;1028
633;1028
634;1028
635;1028
636;1028
637;1028
638;1028
639;1028
640;1028
641;1028
642;1028
643;1028
644;1028
645;1028
646;1028
647;1028
648;1028
649;1028
650;1028
651;1028
652;1028
653;1028
654;1028
655;1028
656;1028
657;1028
658;1028
659;1028
660;1028
661;1028
662;1028
663;1028
664;1028
665;1028
666;1028
667;1028
668;1028
669;1028
670;1028
671;1028
672;1028
673;1028
674;1028
675;1028
676;1028
677;1028
678;1028
679;1028
680;1028
681;1028
682;1028
683;1028
684;1028
685;1028
686;1028
687;1028
688;1028
689;1028
690;1028
691;1028
692;1028
693;1028
694;1028
695;1028
696;1028
697;1028
698;1028
699;1028
700;1028
701;1028
702;1028
703;1028
704;1028
705;1028
706;1028
707;1028
708;1028
709;1028
710;1028
711;1028
712;1028
713;1028
714;1028
715;1028
716;1028
717;1028
718;1028
719;1028
720;1028
721;1028
722;1028
723;1028
724;1028
725;1028
726;1028
727;1028
728;1028
729;1028
730;1028
731;1028
732;1028
733;1028
734;1028
735;1028
736;1028
737;1028
738;1028
739;1028
740;1028
741;1028
742;1028
743;1028
744;1028
745;1028
746;1028
747;1028
748;1028
749;1028
750;1028
751;1028
752;1028
753;1028
754;1028
755;1028
756;1028
757;1028
758;1028
759;1028
760;1028
761;1028
762;1028
763;1028
764;1028
765;1028
766;1028
767;1028
768;1028
769;1028
770;1028
771;1028
772;1028
773;1028
774;1028
775;1028
776;1028
777;1028
778;1028
779;1028
780;1028
781;1028
782;1028
783;1028
784;1028
785;1028
786;1028
787;1028
788;1028
789;1028
790;1028
791;1028
792;1028
793;1028
794;1028
795;1028
796;1028
797;1028
798;1028
799;1028
800;1028
801;1028
802;1028
803;1028
804;1028
805;1028
806;1028
807;1028
808;1028
809;1028
810;1028
811;1028
812;1028
813;1028
814;1028
815;1028
816;1028
817;1028
818;1028
819;1028
820;1028
821;1028
822;1028
823;1028
824;1028
825;1028
826;1028
827;1028
828;1028
829;1028
830;1028
831;1028
832;1028
833;1028
834;1028
835;1028
836;1028
837;1028
838;1028
839;1028
840;1028
841;1028
842;1028
843;1028
844;1027
845;1027
846;1027
847;1027
848;1027
849;1027
850;1026
851;1026
852;1026
853;1026
854;1026
855;1026
856;1026
857;1026
858;1026
859;1026
860;1026
861;1026
862;1026
863;1026
864;1026
865;1026
866;1026
867;1026
868;1026
869;1026
870;1026
871;1026
872;1026
873;1026
874;1026
875;1026
876;1026
877;1026
878;1026
879;1026
880;1026
881;1026
882;1026
883;1026
884;1026
885;1026
886;1026
887;1026
888;1026
889;1026
890;1026
891;1026
892;1026
893;1026
894;1026
895;1026
896;1026
897;1026
898;1026
899;1026
900;1026
901;1026
902;1026
903;1026
904;1026
905;1026
906;1026
907;1026
908;1026
909;1026
910;1026
911;1026
912;1026
913;1026
914;1026
915;1026
916;1026
917;1026
918;1026
919;1026
920;1026
921;1026
922;1026
923;1026
924;1026
925;1026
926;1026
927;1026
928;1026
929;1026
930;1026
931;1026
932;1026
933;1026
934;1026
935;1026
936;1026
937;1026
938;1026
939;1025
940;1025
941;1025
942;1025
943;1025
944;1025
945;1025
946;1025
947;1025
948;1025
949;1025
950;1025
951;1025
952;1025
953;1025
954;1025
955;1025
956;1025
957;1025
958;1025
959;1025
960;1025
961;1025
962;1025
963;1025
964;1025
965;1025
966;1025
967;1024
968;1024
969;1024
970;1024
971;1024
972;1024
973;1024
974;1024
975;1024
976;1024
977;1024
978;1024
979;1024
980;1024
981;1024
982;1024
983;1024
984;1024
985;1024
986;1024
987;1024
988;1024
989;1023
990;1023
991;1023
992;1023
993;1023
994;1023
995;1023
996;1023
997;1023
998;1023
999;1023
