gen;size
0;1069
1;1031
2;1018
3;991
4;971
5;931
6;997
7;954
8;991
9;1020
10;1020
11;1009
12;1000
13;941
14;956
15;958
16;1057
17;979
18;1033
19;1019
20;998
21;1008
22;984
23;947
24;1019
25;1028
26;965
27;1013
28;1042
29;946
30;970
31;997
32;985
33;1038
34;1043
35;1048
36;973
37;1017
38;969
39;951
40;962
41;994
42;1022
43;1000
44;1041
45;1046
46;1002
47;1082
48;990
49;1039
50;983
51;1023
52;1033
53;1011
54;954
55;993
56;977
57;1023
58;950
59;961
60;1023
61;964
62;985
63;1013
64;972
65;986
66;998
67;1015
68;1003
69;998
70;992
71;1033
72;1005
73;1011
74;1039
75;989
76;994
77;998
78;1011
79;981
80;981
81;1015
82;1039
83;1007
84;954
85;1008
86;971
87;984
88;1019
89;966
90;1007
91;985
92;995
93;969
94;1032
95;995
96;994
97;1041
98;926
99;1046
100;994
101;998
102;1026
103;995
104;962
105;947
106;993
107;1039
108;991
109;1017
110;1051
111;973
112;984
113;981
114;952
115;1046
116;989
117;1000
118;1010
119;972
120;1010
121;982
122;973
123;955
124;955
125;1019
126;982
127;970
128;1021
129;983
130;973
131;986
132;1016
133;1014
134;1061
135;1014
136;997
137;1026
138;1022
139;1023
140;969
141;994
142;970
143;985
144;1057
145;971
146;1013
147;996
148;1011
149;1049
150;1077
151;1015
152;989
153;987
154;997
155;971
156;997
157;942
158;1030
159;998
160;1038
161;1016
162;957
163;976
164;999
165;1052
166;1010
167;1027
168;961
169;1018
170;1018
171;1019
172;985
173;1000
174;989
175;996
176;962
177;980
178;1024
179;1033
180;1053
181;972
182;992
183;1024
184;1003
185;1070
186;980
187;1035
188;1017
189;982
190;1012
191;980
192;957
193;1001
194;1048
195;995
196;961
197;992
198;1053
199;1032
200;984
201;1000
202;998
203;1011
204;1007
205;1020
206;1008
207;934
208;1013
209;1007
210;1028
211;1047
212;960
213;1015
214;1082
215;962
216;1001
217;980
218;1035
219;1000
220;978
221;1012
222;1011
223;963
224;985
225;1050
226;1013
227;960
228;954
229;1037
230;986
231;1046
232;1033
233;1056
234;986
235;1019
236;959
237;970
238;1022
239;995
240;1025
241;1052
242;967
243;970
244;1057
245;960
246;955
247;995
248;1001
249;967
250;1039
251;972
252;953
253;989
254;1008
255;962
256;1041
257;1022
258;943
259;1009
260;994
261;1033
262;1044
263;984
264;1002
265;1005
266;987
267;973
268;962
269;985
270;986
271;997
272;1003
273;960
274;973
275;994
276;980
277;958
278;995
279;1010
280;1056
281;1032
282;1019
283;1077
284;1067
285;1004
286;993
287;1046
288;979
289;1010
290;991
291;985
292;1003
293;1053
294;1001
295;1006
296;995
297;1015
298;1066
299;980
300;994
301;957
302;1030
303;1007
304;987
305;968
306;942
307;982
308;950
309;1028
310;975
311;1008
312;1003
313;1042
314;944
315;999
316;952
317;994
318;939
319;992
320;1002
321;1006
322;1050
323;987
324;1014
325;1030
326;985
327;1031
328;1003
329;1010
330;1003
331;982
332;959
333;969
334;1015
335;1006
336;989
337;944
338;1063
339;1014
340;1009
341;1000
342;1003
343;1010
344;1022
345;1000
346;991
347;1017
348;1000
349;1006
350;1044
351;1010
352;1019
353;985
354;995
355;971
356;1034
357;971
358;1035
359;977
360;983
361;1047
362;974
363;983
364;994
365;942
366;960
367;1025
368;1023
369;1042
370;1014
371;977
372;1004
373;935
374;1013
375;959
376;1001
377;1012
378;1025
379;1045
380;1005
381;975
382;1000
383;917
384;988
385;1007
386;1055
387;1007
388;981
389;949
390;1074
391;996
392;986
393;1008
394;1002
395;1013
396;960
397;960
398;963
399;986
400;932
401;1009
402;994
403;974
404;974
405;1010
406;1022
407;1013
408;975
409;933
410;1036
411;1020
412;989
413;982
414;960
415;975
416;964
417;971
418;968
419;997
420;1009
421;999
422;927
423;1019
424;1028
425;1000
426;1079
427;1024
428;1037
429;1000
430;945
431;965
432;987
433;1002
434;1030
435;962
436;1025
437;1024
438;1048
439;1036
440;1048
441;1061
442;1023
443;1036
444;1021
445;998
446;924
447;1009
448;961
449;1018
450;1015
451;977
452;1007
453;1027
454;1009
455;1027
456;1018
457;965
458;1048
459;1036
460;982
461;996
462;941
463;944
464;1048
465;985
466;983
467;1015
468;1026
469;986
470;987
471;1040
472;1032
473;1034
474;1051
475;1011
476;960
477;929
478;1041
479;1017
480;987
481;991
482;1014
483;1033
484;1052
485;1064
486;968
487;1015
488;987
489;987
490;1037
491;984
492;962
493;995
494;1013
495;1012
496;999
497;985
498;991
499;975
500;1022
501;1000
502;972
503;956
504;1017
505;985
506;954
507;1030
508;1016
509;1045
510;988
511;997
512;953
513;995
514;971
515;977
516;1008
517;984
518;969
519;986
520;986
521;967
522;1026
523;1055
524;1032
525;949
526;1048
527;978
528;1004
529;1027
530;1065
531;1004
532;1024
533;1017
534;1040
535;965
536;979
537;968
538;968
539;992
540;997
541;1046
542;967
543;970
544;974
545;990
546;994
547;984
548;1016
549;1001
550;988
551;943
552;1050
553;955
554;1019
555;989
556;1055
557;953
558;1003
559;953
560;1002
561;999
562;1046
563;1001
564;1025
565;1006
566;987
567;1008
568;1008
569;1031
570;940
571;1009
572;1019
573;1007
574;978
575;1015
576;1015
577;1016
578;981
579;988
580;992
581;986
582;1006
583;979
584;989
585;994
586;1034
587;1003
588;979
589;1044
590;1014
591;1025
592;1019
593;994
594;989
595;1012
596;958
597;1048
598;942
599;954
600;1062
601;982
602;1016
603;1038
604;955
605;932
606;963
607;1003
608;1009
609;977
610;1000
611;975
612;966
613;1003
614;1069
615;994
616;1052
617;982
618;1000
619;1039
620;999
621;966
622;992
623;1019
624;980
625;954
626;1006
627;962
628;1036
629;964
630;978
631;1015
632;1015
633;999
634;1029
635;1026
636;970
637;1010
638;1004
639;980
640;975
641;1006
642;996
643;1000
644;1033
645;961
646;1021
647;1009
648;1009
649;1000
650;974
651;991
652;981
653;1001
654;1029
655;980
656;1004
657;987
658;1035
659;1017
660;966
661;1044
662;1025
663;1029
664;1001
665;977
666;976
667;1001
668;941
669;982
670;974
671;1019
672;1056
673;988
674;1032
675;1033
676;994
677;1050
678;1058
679;999
680;1006
681;1021
682;905
683;954
684;1042
685;971
686;997
687;931
688;1010
689;971
690;1050
691;976
692;1010
693;993
694;1025
695;1029
696;1005
697;1000
698;928
699;994
700;960
701;983
702;1003
703;991
704;975
705;985
706;961
707;993
708;1003
709;991
710;967
711;988
712;948
713;958
714;1036
715;1013
716;1015
717;969
718;987
719;966
720;1006
721;1046
722;1004
723;962
724;1019
725;1009
726;1002
727;967
728;963
729;1075
730;983
731;1018
732;1013
733;997
734;939
735;1010
736;1017
737;961
738;987
739;1051
740;969
741;1003
742;997
743;1031
744;1011
745;1019
746;987
747;993
