gen;size
0;1011
1;1007
2;906
3;1037
4;972
5;1073
6;963
7;1034
8;1013
9;1006
10;992
11;1018
12;1068
13;1035
14;964
15;999
16;990
17;959
18;1045
19;1025
20;965
21;1013
22;958
23;988
24;1052
25;966
26;1035
27;965
28;983
29;981
30;986
31;968
32;988
33;1015
34;988
35;971
36;981
37;1004
38;960
39;1028
40;1014
41;1023
42;908
43;958
44;1001
45;985
46;1032
47;1020
48;957
49;967
50;981
51;968
52;1028
53;1022
54;956
55;1069
56;1043
57;983
58;1018
59;988
60;942
61;991
62;1059
63;1016
64;1004
65;1025
66;1047
67;1013
68;941
69;971
70;1044
71;1012
72;1008
73;979
74;1076
75;1009
76;995
77;966
78;965
79;1020
80;1069
81;965
82;1015
83;1001
84;981
85;956
86;1055
87;922
88;952
89;1038
90;982
91;1021
92;952
93;1004
94;1063
95;981
96;996
97;964
98;945
99;977
100;1019
101;1055
102;1035
103;1028
104;1011
105;1011
106;1021
107;1008
108;1023
109;976
110;1031
111;980
112;965
113;1037
114;1006
115;1041
116;979
117;952
118;1036
119;1008
120;985
121;1024
122;986
123;1019
124;968
125;984
126;996
127;991
128;1047
129;973
130;987
131;1003
132;1033
133;994
134;1011
135;1048
136;1011
137;999
138;992
139;1021
140;974
141;981
142;1008
143;943
144;1015
145;981
146;987
147;985
148;998
149;1002
150;1043
151;1043
152;1031
153;1041
154;1051
155;956
156;987
157;1032
158;1029
159;990
160;1031
161;1020
162;982
163;1010
164;959
165;983
166;1031
167;1043
168;926
169;1058
170;1003
171;931
172;1006
173;1026
174;997
175;1017
176;1018
177;1024
178;991
179;1034
180;970
181;1034
182;1031
183;969
184;1004
185;1021
186;1048
187;978
188;974
189;955
190;1000
191;982
192;1020
193;991
194;1018
195;957
196;990
197;920
198;940
199;1002
200;988
201;992
202;960
203;1010
204;989
205;955
206;981
207;994
208;986
209;1057
210;1011
211;1004
212;969
213;1011
214;1021
215;978
216;1019
217;971
218;955
219;996
220;999
221;1041
222;1016
223;1032
224;957
225;963
226;1026
227;1011
228;983
229;1015
230;970
231;972
232;1046
233;942
234;975
235;1001
236;1009
237;991
238;954
239;994
240;1009
241;995
242;1012
243;1027
244;1031
245;1026
246;1007
247;1022
248;1024
249;961
250;984
251;1046
252;1006
253;992
254;1017
255;1025
256;967
257;981
258;985
259;951
260;1041
261;970
262;1062
263;956
264;980
265;976
266;992
267;1008
268;1046
269;918
270;1011
271;977
272;977
273;1030
274;1007
275;991
276;1047
277;1005
278;969
279;1002
280;974
281;994
282;992
283;997
284;982
285;988
286;994
287;994
288;967
289;993
290;997
291;978
292;1013
293;1014
294;1020
295;998
296;992
297;1004
298;968
299;992
300;981
301;967
302;1003
303;1001
304;1024
305;983
306;1036
307;934
308;1044
309;956
310;977
311;1010
312;990
313;1003
314;1013
315;1031
