gen;size
0;962
1;948
2;1034
3;953
4;959
5;980
6;962
7;1003
8;994
9;922
10;946
11;1009
12;914
13;1016
14;990
15;976
16;1014
17;984
18;1040
19;942
20;980
21;1005
22;1070
23;1022
24;954
25;1016
26;984
27;1021
28;1020
29;966
30;978
31;999
32;970
33;1040
34;1025
35;1017
36;991
37;1020
38;1063
39;1000
40;995
41;923
42;997
43;1037
44;922
45;986
46;988
47;1010
48;965
49;969
50;1000
51;981
52;1001
53;976
54;1038
55;991
56;955
57;989
58;1004
59;1041
60;1002
61;998
62;929
63;1019
64;1021
65;1031
66;1011
67;1002
68;1029
69;970
70;1016
71;1014
72;988
73;970
74;1044
75;981
76;1004
77;976
78;935
79;981
80;980
81;967
82;1079
83;1019
84;936
85;976
86;1026
87;985
88;1055
89;1001
90;975
91;1010
92;946
93;971
94;1020
95;1043
96;953
97;961
98;1036
99;996
100;1002
101;980
102;1017
103;1064
104;967
105;981
106;1026
107;930
108;1073
109;967
110;986
111;995
112;1007
113;1078
114;977
115;977
116;1008
117;1064
118;1012
119;948
120;987
121;992
122;1020
123;1022
124;1004
125;1064
126;985
127;1019
128;1040
129;961
130;1001
131;973
132;930
133;982
134;993
135;1001
136;1018
137;1011
138;1002
139;973
140;981
141;1019
142;992
143;974
144;1004
145;960
146;1019
147;970
148;965
149;953
150;933
151;1005
152;974
153;983
154;1031
155;975
156;955
157;1038
158;945
159;1022
160;1018
161;1004
162;947
163;962
164;997
165;1043
166;999
167;1029
168;1007
169;1028
170;979
171;981
172;974
173;1029
174;992
175;990
176;933
177;1022
178;991
179;989
180;1028
181;1009
182;1019
183;980
184;985
185;992
186;1022
187;989
188;1041
189;995
190;1044
191;954
192;979
193;981
194;971
195;953
196;948
197;1008
198;983
199;1004
200;957
201;1020
202;1013
203;1058
204;990
205;928
206;988
207;1006
208;1048
209;1001
210;980
211;978
212;939
213;936
214;984
215;964
216;982
217;1033
218;995
219;1062
220;1007
221;1001
222;1004
223;984
224;1030
225;943
226;946
227;1028
228;998
229;993
230;961
231;971
232;1017
233;991
234;1039
235;1011
236;990
237;1029
238;1039
239;998
240;998
241;1016
242;990
243;1019
244;1093
245;1016
246;919
247;1004
248;986
249;969
250;1041
251;1026
252;984
253;966
254;1030
255;1021
256;1002
257;995
258;1015
259;1009
260;971
261;997
262;1006
263;1011
264;967
265;1031
266;1031
267;1014
268;1029
269;1009
270;948
271;1012
272;956
273;962
274;1038
275;1032
276;969
277;1021
278;1000
279;1014
280;949
281;940
282;1039
283;1018
284;1027
285;975
286;1041
287;1010
288;1043
289;1001
290;1030
291;1009
292;1025
293;1014
294;1020
295;1023
296;998
297;1011
298;998
299;967
300;1008
301;1016
302;965
303;954
304;1000
305;1036
306;980
