id;x;y;sp;gen
0;83.037712;15.343168;0;999
1;24.264103;80.017006;0;999
2;86.226646;42.194611;0;999
3;9.244637;79.785530;0;999
4;20.853928;49.187214;0;999
5;34.026913;6.429729;0;999
6;80.392021;89.973404;0;999
7;0.463115;68.352692;0;999
8;75.474464;47.080677;0;999
9;8.997651;38.451641;0;999
10;20.889805;46.011177;0;999
11;85.110634;94.366028;0;999
12;14.916526;36.488827;0;999
13;33.132786;94.292282;0;999
14;0.869619;76.792137;0;999
15;29.262436;3.515085;0;999
16;25.525078;91.262268;0;999
17;81.329369;90.967110;0;999
18;4.884612;73.782181;0;999
19;90.806320;60.639717;0;999
20;2.141951;73.382484;0;999
21;43.913017;83.289276;0;999
22;2.565960;93.381355;0;999
23;28.355925;66.783394;0;999
24;26.968077;36.395378;0;999
25;76.488075;63.222111;0;999
26;26.454243;63.610699;0;999
27;37.357922;95.889153;0;999
28;48.832111;45.617340;0;999
29;25.709158;52.993542;0;999
30;92.539330;42.712891;0;999
31;1.168353;17.245171;0;999
32;29.539677;8.366779;0;999
33;82.818649;88.330887;0;999
34;75.951988;24.935760;0;999
35;73.275063;92.993263;0;999
36;36.208588;58.627327;0;999
37;80.969467;32.976540;0;999
38;86.021164;37.516876;0;999
39;17.827583;49.470718;0;999
40;30.382696;43.368626;0;999
41;47.207432;34.705097;0;999
42;99.832588;24.117161;0;999
43;65.232231;22.511080;0;999
44;37.001736;3.880800;0;999
45;97.949005;72.674538;0;999
46;19.580956;74.666763;0;999
47;18.484272;45.234116;0;999
48;78.240761;90.563660;0;999
49;41.069218;61.842182;0;999
50;82.511757;12.433318;0;999
51;48.239212;56.828243;0;999
52;67.237091;12.473186;0;999
53;58.215874;81.292526;0;999
54;42.753666;66.153862;0;999
55;88.116013;70.930984;0;999
56;28.768608;55.900429;0;999
57;58.764034;91.946930;0;999
58;86.485428;15.860491;0;999
59;83.451950;61.187252;0;999
60;61.444687;69.130753;0;999
61;60.889530;63.691116;0;999
62;26.694447;40.281143;0;999
63;84.656616;82.091667;0;999
64;97.178207;62.185921;0;999
65;69.069344;77.324562;0;999
66;63.632801;63.943245;0;999
67;53.058529;64.423210;0;999
68;67.756325;19.869968;0;999
69;65.035263;43.586491;0;999
70;67.873611;72.061813;0;999
71;39.684517;93.974533;0;999
72;98.424088;43.215866;0;999
73;50.890648;27.945827;0;999
74;51.136971;86.101181;0;999
75;79.946892;81.223953;0;999
76;26.803047;91.231483;0;999
77;62.784782;0.019981;0;999
78;54.032566;80.503906;0;999
