id;x;y;sp
199;17.442890;45.866322;37
200;96.890312;0.300430;6
201;19.319174;47.723408;37
202;6.917337;7.194440;10
203;98.708298;3.805561;6
204;79.683525;87.464729;54
205;37.176498;40.246231;43
206;98.804176;24.477396;65
207;47.167191;6.511307;7
208;44.592583;1.701614;7
209;79.962273;11.887011;8
210;79.962273;11.887011;8
211;57.200287;76.014557;11
212;9.780601;30.513577;25
213;21.415707;74.602371;66
214;94.812721;14.062999;8
215;9.742729;41.622070;0
216;89.032158;9.842722;67
217;24.523798;21.921812;9
218;84.507545;99.687332;44
219;6.917337;7.194440;10
220;56.920719;73.147354;11
221;59.020321;77.082191;11
222;60.043720;83.307228;64
223;0.565071;99.931030;12
224;44.663471;7.343072;59
225;73.673386;78.271179;57
226;60.713509;79.347092;11
227;43.939590;6.984821;59
228;31.164949;98.300636;20
229;10.379391;33.636581;68
230;0.978271;79.514114;13
231;88.280998;9.875970;8
232;26.784328;1.926774;7
233;23.890116;80.359787;66
234;99.468674;79.748726;13
235;32.189148;73.233612;0
236;0.626778;3.678658;6
237;75.742523;2.500485;69
238;55.702774;69.281937;14
239;60.246105;77.731834;11
240;85.772003;35.179577;51
241;93.711372;42.539848;2
242;20.203001;75.763153;66
243;24.840755;77.097542;66
244;61.239773;77.269165;11
245;69.012505;13.940351;70
246;54.542812;16.137444;3
247;88.785728;13.815144;8
248;83.500534;21.723387;71
249;82.356216;7.552304;53
250;92.031830;89.670731;1
251;55.707516;69.578995;14
252;17.613823;70.476410;15
253;69.008034;16.207842;70
254;3.254486;54.504795;29
255;0.324417;6.947999;6
256;15.495148;62.616547;29
257;93.048676;56.033371;16
258;80.442741;6.722665;8
259;11.129623;36.536064;68
260;14.271970;13.240868;10
261;2.133873;46.431263;42
262;16.733442;43.045845;37
263;80.594093;89.903740;54
264;84.245117;98.345840;44
265;90.453110;43.981373;51
266;53.735085;19.579504;3
267;83.631386;21.623175;71
268;13.699871;64.086487;45
269;84.916824;22.737818;71
270;22.358917;65.310814;29
271;99.955406;18.492052;8
272;97.023918;15.951157;8
273;84.377678;18.773560;71
274;85.772003;35.179577;51
275;29.717016;78.819130;66
276;71.223267;14.553992;70
277;74.464661;77.521217;27
278;19.184557;43.620911;72
279;19.184557;43.620911;72
280;92.811638;18.781219;8
281;71.323891;45.556538;55
282;82.625633;90.153664;54
283;69.988129;45.181549;55
284;72.157867;52.860123;55
285;70.625687;44.789539;55
286;37.597561;38.878765;43
287;79.241539;83.998581;54
288;37.176498;40.246231;43
289;84.164772;96.997276;47
290;80.788078;92.451622;47
291;15.903871;63.551003;40
292;68.705200;74.070137;56
293;2.310202;42.847881;34
294;39.895447;6.310426;17
295;71.744598;58.709160;33
296;29.601601;42.847260;39
297;64.057121;67.899078;38
298;51.373196;80.226143;46
299;31.353268;70.638885;0
300;73.673386;78.271179;57
301;31.966644;81.301750;17
302;30.473335;59.513016;73
303;70.466858;90.138168;18
304;28.381325;58.310097;73
305;16.733442;43.045845;37
306;59.010807;27.652363;63
307;83.974831;88.029839;1
308;99.168991;28.243528;30
309;98.769234;0.160210;6
310;23.774269;53.143852;37
311;22.427023;63.450111;19
312;44.981705;22.664274;74
313;60.599895;30.699301;63
314;78.298027;34.786293;31
315;69.227295;46.544003;55
316;78.906464;97.858223;36
317;50.428822;81.876701;43
318;31.685650;1.125793;20
319;32.225388;1.217499;20
320;96.850716;25.018822;65
321;11.518061;36.301117;25
322;67.199829;53.970684;33
323;93.022781;25.680450;65
324;30.598436;10.561024;21
325;29.488277;63.803246;58
326;5.981073;82.379364;23
327;8.145827;25.127226;25
328;0.986977;34.915730;35
329;49.255814;9.872061;59
330;18.802988;48.561356;37
331;11.795651;44.265438;49
332;48.638504;11.399387;59
333;24.523798;21.921812;9
334;40.949440;83.346962;24
335;61.807423;70.119209;75
336;11.502518;29.842541;25
337;13.257366;22.781755;25
338;93.054878;24.729723;65
339;38.669613;3.418899;17
340;96.568695;58.528126;15
341;73.155548;1.301842;53
342;35.049011;3.704708;20
343;96.146103;47.353676;2
344;89.675636;39.001060;2
345;51.373196;80.226143;46
346;54.815403;20.603918;63
347;70.256729;71.764618;38
348;2.640479;12.678905;52
349;33.398796;2.146027;20
350;58.426594;63.916843;38
351;58.795139;65.534119;38
352;96.890312;0.300430;6
353;22.427023;63.450111;19
354;2.352699;43.124660;34
355;76.258087;79.961548;27
356;31.966644;81.301750;17
357;28.381325;58.310097;73
358;96.598488;25.950987;35
359;94.816574;22.993710;30
360;28.381325;58.310097;73
361;75.335770;6.222833;76
362;96.146103;47.353676;2
363;31.966644;81.301750;17
364;75.335770;6.222833;76
365;49.765217;2.909142;3
366;39.718597;3.481863;77
367;18.772854;56.975315;62
368;13.674296;70.679382;15
369;61.561268;29.715752;63
370;57.268814;52.631241;28
371;92.556969;47.226257;50
372;73.673386;78.271179;57
373;15.150981;68.203133;15
374;15.495148;62.616547;29
375;37.451286;99.845520;4
376;32.435257;66.640884;19
377;18.751074;49.551727;62
378;18.968443;63.817108;29
379;67.968262;70.690742;56
380;99.493195;26.232563;30
381;7.086918;31.099985;68
382;19.136845;48.613434;37
383;73.031952;44.015598;55
384;14.205548;43.763813;49
385;77.185287;30.493313;31
386;54.157692;3.542358;3
387;31.334312;44.767067;39
388;47.708927;23.962629;63
389;33.229523;69.326027;19
390;31.803383;87.700790;4
391;24.966171;60.917122;45
392;79.834709;36.445793;31
393;7.856571;11.984372;32
394;75.884987;45.863560;55
395;50.653633;78.479919;43
396;3.932228;76.524055;23
397;72.717644;76.845032;27
398;58.920418;53.058720;28
399;50.349449;83.923157;43
400;42.221657;17.603918;74
401;72.717644;76.845032;27
402;54.738258;36.818829;60
403;24.355038;64.630486;45
404;69.020630;45.453674;55
405;67.057663;47.664787;55
406;37.786564;1.834137;77
407;90.688934;93.180801;54
408;38.568760;10.289347;74
409;40.512905;18.787704;74
410;37.252224;40.709496;43
411;20.626808;70.596565;40
412;9.780601;30.513577;25
413;71.744598;58.709160;33
414;27.847662;8.374002;21
415;35.704430;7.711736;61
416;32.018242;6.547542;7
417;25.523029;73.785324;0
418;29.488277;63.803246;58
419;61.792229;64.784401;56
420;24.984438;50.526226;37
421;96.518501;0.813980;6
422;16.733442;43.045845;37
423;20.543379;43.335541;34
424;32.395683;65.711662;19
425;11.458811;39.621307;49
426;50.654617;80.499176;46
427;75.431679;2.751000;69
428;61.378960;87.439217;64
429;33.889019;43.725666;39
430;61.820240;87.863869;64
431;60.043720;83.307228;64
432;48.359535;53.294575;38
433;61.250195;74.317749;75
434;72.045425;90.174446;18
435;51.589142;57.181587;38
436;23.541220;74.989059;40
437;42.015202;14.523716;74
438;46.792953;76.257477;46
439;38.471169;9.360126;61
440;14.560184;76.474419;78
441;54.082722;60.132111;38
442;9.742729;41.622070;0
443;61.094990;74.574150;75
444;38.351830;3.467247;17
445;22.475140;65.262276;45
446;33.531017;63.563072;73
447;95.704140;26.457115;35
448;84.789070;25.394703;35
449;63.333073;74.078011;75
450;72.045425;90.174446;18
451;33.531017;63.563072;73
452;84.789070;25.394703;35
453;12.302732;78.894020;78
454;69.244461;1.276169;69
455;3.858731;71.973495;78
456;29.674389;66.629501;58
457;37.336739;3.414755;17
458;9.314895;73.571617;78
459;74.703949;5.082122;5
460;77.218636;0.066261;36
461;59.465942;27.931358;63
462;92.747635;49.256367;50
463;92.942780;22.923674;30
464;8.644802;9.140772;32
465;62.494862;78.885689;79
466;1.745529;8.681684;6
467;95.440826;95.766029;6
468;20.252335;50.198059;37
469;20.777355;59.835529;62
470;13.559142;42.974895;49
471;4.663644;72.451508;78
472;48.359535;53.294575;38
473;2.640479;12.678905;52
474;8.395311;3.341973;10
475;76.889038;10.295851;76
476;94.816574;22.993710;30
477;42.015202;14.523716;74
478;84.996140;40.413982;51
479;2.708982;70.054420;78
480;28.774027;41.420540;39
481;49.695385;23.681305;63
482;82.583359;38.528957;31
483;99.818047;56.755783;16
484;42.015202;14.523716;74
485;62.316307;36.753696;55
486;64.508713;41.292976;55
487;2.708982;70.054420;78
488;78.517464;99.401642;36
489;76.973396;86.346497;54
490;68.463516;98.905807;69
491;97.445045;60.248188;16
492;53.227116;75.174644;79
493;48.248863;62.616016;43
494;60.607380;37.764187;55
495;54.624371;85.653030;43
496;38.694958;54.171257;43
497;51.202679;82.929955;43
498;43.753490;47.055740;43
499;42.947891;20.555532;74
500;67.114868;68.670563;38
501;18.630419;62.852554;40
502;98.804176;24.477396;65
503;14.218057;31.259407;25
504;11.446681;32.728584;25
505;98.436455;52.473644;50
506;99.124557;29.223206;65
507;93.022781;25.680450;65
508;44.592583;1.701614;7
509;71.296989;57.215076;33
510;41.711273;98.165779;7
511;38.694267;41.472923;22
512;90.755386;10.390150;8
513;81.682159;16.105886;8
514;24.860783;6.328219;7
515;83.085007;99.748917;47
516;32.189148;73.233612;0
517;22.949635;0.858070;7
518;60.713509;79.347092;11
519;89.896416;5.996756;67
520;56.330284;62.944336;38
521;2.005761;43.658539;34
522;3.932228;76.524055;23
523;78.121796;4.424206;53
524;86.178604;2.746154;47
525;14.218057;31.259407;25
526;19.030279;48.342400;48
527;27.380602;66.044792;45
528;24.840755;77.097542;66
529;88.280998;9.875970;8
530;35.086586;88.775063;4
531;30.793232;2.910978;61
532;15.629728;48.172585;49
533;9.742729;41.622070;0
534;62.494862;78.885689;79
535;35.704430;7.711736;61
536;98.063950;99.783264;6
537;9.487449;14.829576;41
538;11.458811;39.621307;49
539;43.939590;6.984821;59
540;10.589181;71.589615;78
541;4.399872;47.931652;42
542;25.834002;26.962826;9
543;28.894211;26.936325;9
544;97.012161;51.952942;50
545;2.016037;6.288898;41
546;89.896416;5.996756;67
547;47.719723;83.824387;43
548;85.772003;35.179577;51
549;59.944599;80.762230;79
550;50.855694;76.144272;46
551;47.110058;78.628082;43
552;84.585999;27.201571;80
553;72.382652;96.089767;43
554;79.418022;94.872406;47
555;79.418022;94.872406;47
556;83.166336;96.316658;44
557;40.063557;77.487602;24
558;74.754791;58.926918;33
559;12.444921;15.634113;10
560;80.639671;97.492783;47
561;67.646667;80.257492;38
562;14.943883;26.885834;25
563;65.677933;97.461723;69
564;34.712349;99.663147;77
565;61.088531;81.137848;11
566;80.081322;91.615242;47
567;9.422454;33.224674;25
568;61.820240;87.863869;64
569;84.585999;27.201571;80
570;16.661779;60.243294;45
571;32.011703;82.204605;17
572;53.165131;68.469116;79
573;71.744598;58.709160;33
574;77.158745;9.362462;76
575;1.167580;56.279545;50
576;95.659935;58.126625;16
577;60.561657;75.108994;11
578;95.623154;26.213039;65
579;20.278316;56.242676;62
580;43.130772;3.776194;59
581;96.568695;58.528126;15
582;3.189304;14.891308;52
583;83.582840;5.315248;53
584;88.426781;7.091864;47
585;98.737473;49.837425;51
586;55.172409;55.605999;28
587;51.698643;84.371140;43
588;62.661312;85.816032;64
589;15.655196;59.357758;40
590;61.327271;34.849094;55
591;57.819500;75.930168;79
592;46.364353;79.301491;43
593;96.850716;25.018822;65
594;49.354889;83.676468;43
595;50.125721;65.034592;79
596;34.054657;1.064476;20
597;31.164949;98.300636;20
598;26.784328;1.926774;7
599;30.598436;10.561024;21
600;3.872585;55.050591;29
601;66.820007;54.629055;33
602;4.224205;29.417459;68
603;0.978271;79.514114;13
604;27.380602;66.044792;45
605;23.446634;1.087898;7
606;0.565071;99.931030;12
607;74.377197;62.032852;33
608;79.962273;11.887011;8
609;63.605679;74.843689;75
610;23.105568;52.671597;62
611;26.635735;9.311290;26
612;3.617522;14.778666;52
613;12.904590;59.145191;29
614;11.184053;18.332254;9
615;88.188644;5.201792;8
616;50.378735;84.366913;43
617;41.587101;99.165680;7
618;17.959002;64.240387;40
619;78.977196;55.769173;55
620;66.074638;35.971352;55
621;2.256898;11.906854;52
622;69.020630;45.453674;55
623;12.904590;59.145191;29
624;56.120586;77.064095;46
625;24.860783;6.328219;7
626;85.325188;4.283981;47
627;80.639671;97.492783;47
628;21.905848;67.086830;0
629;48.367420;55.891273;38
630;7.321815;14.575343;41
631;27.280455;3.930528;7
632;92.942780;22.923674;30
633;96.383842;75.123634;13
634;26.486845;73.267891;0
635;62.488842;67.599976;38
636;61.831532;78.689224;38
637;99.406509;4.478995;6
638;96.890312;0.300430;6
639;4.148757;42.412296;42
640;85.181862;96.132088;47
641;19.030279;48.342400;48
642;14.937612;67.099098;15
643;12.963105;65.741943;15
644;90.453110;43.981373;51
645;81.667107;7.600810;53
