id;x;y;sp
0;18.126842;5.398388;0
1;9.244570;94.563629;1
2;24.913910;12.645561;2
3;62.012329;19.735319;3
4;3.523212;92.907227;4
5;17.467333;62.792645;5
6;95.881294;12.985986;6
7;95.153503;60.374134;7
8;13.941813;86.243568;4
9;61.226368;77.587868;1
10;46.051285;69.278214;8
11;9.401159;84.529991;9
12;59.731426;73.138817;10
13;65.767372;57.962360;7
14;72.678650;77.050941;11
15;64.899109;73.689133;11
16;31.921862;67.204308;12
17;68.076859;81.782928;11
18;1.001564;29.144911;13
19;25.780943;11.252139;0
20;68.328552;17.970829;14
21;34.964081;65.408211;12
22;18.863840;90.788322;9
23;12.912294;58.643864;5
24;95.781006;51.733746;15
25;56.572495;76.921501;16
26;22.187551;24.063433;2
27;16.062174;5.206798;2
28;49.589855;73.515892;8
29;92.144638;84.745514;1
30;33.790108;48.353188;17
31;55.323368;83.241585;10
32;35.795486;69.816940;12
33;90.429443;40.959351;18
34;13.512802;29.908615;13
35;47.393337;43.858166;17
36;53.677845;53.590748;19
37;93.594780;80.864944;4
38;97.539444;97.197708;1
39;85.272385;67.515144;20
40;41.119724;17.035877;21
41;37.085403;70.047379;12
42;57.991852;71.153557;22
43;64.135422;11.554064;14
44;53.189686;70.223869;1
45;89.374023;83.963867;1
46;35.701965;22.677601;23
47;33.269600;64.349152;24
48;95.366806;56.506771;7
49;54.006527;63.816864;1
50;29.588133;47.849655;25
51;13.841681;60.987152;5
52;15.071584;96.063484;0
53;58.196075;69.597687;1
54;65.508873;94.414345;26
55;83.231407;99.772202;6
56;25.719276;1.744742;2
57;16.844513;14.650167;2
58;87.407104;91.272659;1
59;14.291616;62.155533;5
60;10.545272;87.007164;4
61;9.819529;85.515274;9
62;98.933189;55.786461;27
63;97.175087;54.513577;15
64;47.775024;67.936562;28
65;35.656483;48.537769;29
66;23.470373;10.574511;2
67;35.502735;53.808857;13
68;1.838858;50.717674;30
69;58.068550;57.209145;31
70;7.777739;10.269038;2
71;58.906666;62.462906;19
72;41.391815;24.940380;23
73;52.582199;70.371613;28
74;33.734020;50.329159;29
75;20.264431;17.379904;2
76;48.347687;51.595409;32
77;52.523151;56.292397;19
78;37.046417;47.491695;32
79;16.054268;98.901306;1
80;88.590279;1.416451;1
81;53.049500;36.428188;33
82;74.997360;29.005930;3
83;19.580011;65.248268;30
84;50.043179;70.238029;8
85;56.729801;83.172012;26
86;55.570091;59.156624;7
87;90.383614;3.820061;1
88;28.265543;27.176579;0
89;52.354176;56.511803;7
90;19.997021;3.685508;0
91;53.654247;54.699623;19
92;67.662849;71.464729;11
93;21.252354;2.286095;0
94;14.581627;5.468948;2
95;47.853310;25.681376;34
96;30.323492;51.745655;13
97;76.366356;88.992249;22
98;13.501553;36.586266;13
99;31.887964;58.700806;24
100;38.914043;59.123131;29
101;64.326431;96.405670;26
102;14.769464;98.091400;1
103;52.340183;78.478432;10
104;88.239861;38.770561;18
105;1.911972;92.237434;9
106;20.293100;60.286724;30
107;5.875393;81.952858;27
108;58.428528;62.766888;19
109;14.470465;33.774448;13
110;24.734058;47.490276;13
111;7.908618;84.160339;5
112;54.662743;51.576965;35
113;98.003639;32.838749;13
114;21.868572;5.675933;2
115;11.325563;96.092819;2
116;4.949536;80.848557;5
117;67.054665;21.930473;3
118;81.257179;48.560898;7
119;74.706635;29.979530;3
120;58.297352;74.492088;22
121;84.049438;73.872833;7
122;23.715721;25.420174;0
123;91.099785;40.317780;18
124;87.616089;36.232792;18
125;4.349486;5.705040;2
126;60.307205;99.455948;30
127;36.280148;51.182117;29
128;47.833282;70.111572;8
129;1.855896;33.030315;13
130;46.084961;30.353554;34
131;63.210014;55.084194;10
132;95.172478;71.628723;7
133;88.577248;35.905750;18
134;53.571487;66.249702;1
135;96.992775;36.398064;30
136;92.733810;13.026512;6
137;1.051506;20.473713;6
138;50.262341;52.191692;17
139;55.650814;86.027008;10
140;16.062174;5.206798;2
141;11.733185;62.450043;24
142;84.467308;40.505959;18
143;61.045689;64.057251;19
144;24.035826;22.082771;0
145;4.579627;97.599518;4
146;90.424011;96.132469;1
147;81.226654;14.510846;36
148;30.773439;48.751694;17
149;84.926270;69.852806;7
150;2.312935;77.270958;7
151;50.457390;65.565910;28
152;99.388557;75.253059;7
153;72.702522;61.975395;10
154;49.689945;45.337543;17
155;99.129898;29.464008;13
156;43.475636;50.108852;17
157;59.084991;70.536873;1
158;90.288101;83.393700;1
159;55.959194;56.925468;10
160;56.501289;48.813148;10
161;75.290710;69.988762;10
162;69.410202;69.111351;1
163;45.471706;26.704409;34
164;70.863083;73.643654;1
165;20.968063;55.445469;24
166;77.376678;65.825386;10
167;55.570091;59.156624;7
168;10.190937;78.596458;27
169;5.563370;95.324478;9
170;50.143826;65.303352;28
171;95.181198;14.405823;36
172;94.796143;94.647217;30
173;41.236626;21.186621;33
