id;x;y;sp;gen
0;53.301022;4.900369;0;999
1;85.565773;31.377605;1;999
2;62.041016;47.376911;2;999
3;15.574639;78.464325;3;999
4;24.629051;11.352839;4;999
5;15.574639;78.464325;3;999
6;74.552032;33.286270;5;999
7;26.843210;94.354477;6;999
8;25.499985;39.300739;7;999
9;27.965157;30.055477;8;999
10;49.878090;37.091343;9;999
11;22.000608;53.860737;10;999
12;22.830732;37.699039;7;999
13;48.757732;32.974270;9;999
14;66.844627;48.520599;2;999
15;12.419817;21.730465;11;999
16;26.474611;16.829521;4;999
17;25.720543;0.335938;12;999
18;31.001190;85.644714;6;999
19;10.058760;93.575287;13;999
20;37.132336;55.093090;14;999
21;27.039810;41.567837;9;999
22;27.743847;58.873970;15;999
23;84.395195;54.690742;16;999
24;16.149551;83.017883;17;999
25;39.093121;68.873787;18;999
26;35.159054;71.290009;18;999
27;62.473534;57.728539;19;999
28;44.310905;32.635262;20;999
29;37.132336;55.093090;14;999
30;84.778885;79.707550;21;999
31;18.649294;82.182144;17;999
32;54.474052;32.581398;5;999
33;39.530334;66.603600;18;999
34;93.735100;50.389492;22;999
35;28.398798;41.695358;23;999
36;88.407669;51.564590;22;999
37;37.519806;32.821980;20;999
38;46.468704;34.119579;20;999
39;23.257780;90.154068;6;999
40;12.637084;92.020210;13;999
41;11.516386;84.555595;13;999
42;51.955753;68.811348;24;999
43;48.153767;49.667145;25;999
44;84.353531;78.301643;21;999
45;83.670288;34.866192;1;999
46;83.427536;54.758453;26;999
47;71.022896;50.215637;2;999
48;45.634781;64.603111;27;999
49;82.930183;74.003258;21;999
50;37.034828;45.748173;28;999
51;20.894794;49.164745;10;999
52;61.020382;85.944397;29;999
53;83.734947;29.575453;1;999
54;43.584190;61.381756;27;999
55;63.357742;79.553696;30;999
56;15.574639;78.464325;3;999
57;82.252419;24.755339;1;999
58;79.828583;77.354874;31;999
59;70.454239;36.434944;5;999
60;98.256035;47.211365;32;999
61;89.413551;31.296194;1;999
62;52.925674;30.442108;5;999
63;51.955753;68.811348;24;999
64;33.835140;85.918037;6;999
65;78.115921;65.558075;32;999
66;27.965157;30.055477;8;999
67;72.299988;87.127281;33;999
68;69.933670;87.056572;33;999
69;83.788460;77.050873;31;999
70;27.129244;52.242069;6;999
71;53.460102;31.459833;9;999
72;61.937611;55.162090;19;999
73;31.582312;41.910988;9;999
74;5.827574;6.445603;34;999
75;61.359722;91.235909;33;999
76;57.833660;48.563522;35;999
77;48.153767;49.667145;25;999
78;83.788460;77.050873;31;999
79;33.492096;71.713310;36;999
80;77.912155;48.942970;37;999
81;31.582312;41.910988;9;999
82;52.925674;30.442108;5;999
83;94.143066;46.691727;32;999
84;78.870506;15.334694;38;999
85;43.190468;28.521591;7;999
86;9.241032;56.175739;15;999
87;27.965157;30.055477;8;999
88;22.121422;26.639427;11;999
89;12.643707;48.583237;15;999
90;50.075912;92.292137;39;999
91;62.789318;12.724262;40;999
92;9.705279;56.825230;41;999
93;61.359722;91.235909;33;999
94;0.332770;29.890146;42;999
95;20.976784;31.714920;43;999
96;74.174934;82.116440;44;999
97;33.093147;45.122898;28;999
98;48.926804;90.720184;45;999
99;14.372663;77.824074;46;999
100;25.228733;49.965508;6;999
101;68.869347;77.925774;47;999
102;13.383394;52.123543;15;999
103;51.419674;30.370232;9;999
104;12.488422;52.095554;41;999
105;84.758453;29.380421;1;999
106;46.813904;53.587280;27;999
107;31.941753;29.629160;8;999
108;26.474611;16.829521;4;999
109;54.656757;66.751404;24;999
110;5.827574;6.445603;34;999
111;16.019335;76.440521;17;999
112;5.827574;6.445603;34;999
113;10.537390;23.860844;11;999
114;39.194786;59.712299;14;999
115;4.849469;11.355852;34;999
116;52.266884;50.840046;48;999
117;24.255915;52.440258;15;999
118;13.786140;78.309967;46;999
119;55.678051;79.475845;29;999
