id;x;y;sp
0;65.416962;84.806900;0
1;72.764046;47.268394;1
2;85.267792;78.161644;2
3;33.376926;98.786110;3
4;89.501511;22.615294;4
5;76.206818;44.840412;1
6;10.544229;43.260830;5
7;67.384239;62.927483;6
8;30.465513;77.771446;3
9;62.771042;81.091812;0
10;70.382034;58.392113;6
11;20.507347;9.837972;7
12;86.152382;71.950729;2
13;76.804443;87.107277;8
14;71.741577;67.839630;6
15;90.431206;19.297848;9
16;83.284973;13.513056;10
17;41.169189;63.646915;11
18;44.910038;39.767784;12
19;16.728580;10.536096;7
20;9.014982;7.617295;13
21;18.288439;62.374489;14
22;8.390511;22.900915;15
23;47.782570;74.117752;16
24;42.170452;14.129865;17
25;70.167061;49.889240;18
26;44.672077;85.591156;19
27;80.022842;80.452385;8
28;38.896648;54.581806;20
29;37.058689;1.800934;3
30;51.179935;87.416336;19
31;39.669056;85.747322;19
32;84.219666;63.193977;18
33;51.246712;22.568174;21
34;58.531754;71.857399;22
35;80.053024;79.374741;2
36;72.935318;45.923721;1
37;64.201355;76.347580;0
38;56.409805;26.671055;23
39;10.290132;49.811588;24
40;66.800217;78.551697;2
41;47.865650;54.537819;25
42;38.171436;99.085472;3
43;0.427773;23.259632;26
44;73.765434;34.403427;27
45;38.869671;9.839014;17
46;87.082138;9.746367;10
47;88.254494;18.638926;4
48;46.028915;84.757721;11
49;39.272049;20.166433;28
50;20.451019;69.774117;14
51;78.231361;46.559048;29
52;39.451458;46.029572;29
53;80.985275;6.798563;10
54;18.684772;49.983189;14
55;42.795921;14.685393;30
56;27.243803;31.062748;31
57;9.273895;20.705624;32
58;99.129738;24.819321;9
59;51.015480;40.968636;25
60;42.660706;53.104603;20
61;91.835304;25.845078;9
62;94.147644;0.559120;33
63;8.763495;36.049667;34
64;74.311157;46.737854;1
65;54.365768;30.591845;23
66;69.669373;30.008961;35
67;67.944588;13.710303;36
68;48.364998;62.456486;11
69;70.075600;31.499779;35
70;87.647636;75.894531;2
71;10.969980;53.249382;24
72;56.162609;24.175238;23
73;84.420067;78.158218;2
74;41.394932;96.591026;37
75;67.415123;16.972473;36
76;74.641014;31.741810;35
77;4.135773;22.744076;31
78;84.099213;40.551338;38
79;71.066414;13.747089;36
80;39.898544;12.855436;17
81;11.001925;54.022850;24
82;47.540363;73.801941;16
83;88.753662;65.522789;18
84;79.009033;99.529617;39
85;10.415869;9.693183;13
86;50.855110;84.276855;11
87;79.901833;9.310946;19
88;76.395714;54.520943;29
89;76.477196;35.050224;35
90;42.940166;11.485221;30
91;10.552263;4.268673;13
92;88.546402;36.376381;38
93;72.618645;67.111084;6
94;91.706085;26.653664;4
95;44.751064;54.059628;25
96;81.922882;31.537115;27
97;79.691803;44.126389;29
98;43.965759;55.697315;11
99;47.141533;58.078957;11
