id;x;y;sp;gen
0;73.979431;43.554466;0;999
1;79.245941;43.577991;0;999
2;66.777992;36.085850;0;999
3;63.310581;36.539165;0;999
4;61.763451;38.063244;0;999
5;61.763451;38.063244;0;999
6;50.340500;53.270473;0;999
7;47.977604;53.946201;0;999
8;50.340500;53.270473;0;999
9;34.567734;48.285721;0;999
10;34.567734;48.285721;0;999
11;33.302223;48.544434;0;999
12;33.302223;48.544434;0;999
13;33.302223;48.544434;0;999
14;33.302223;48.544434;0;999
15;38.007153;51.618614;0;999
16;32.015514;43.029053;0;999
17;36.153645;46.570969;0;999
18;37.794781;40.918602;0;999
19;38.593372;42.767029;0;999
20;33.471199;44.221870;0;999
21;39.469456;43.475742;0;999
22;40.120144;45.333115;0;999
23;34.486240;39.415909;0;999
24;30.936167;38.358017;0;999
25;33.609917;44.631050;0;999
26;28.805702;49.690540;0;999
27;32.469360;47.748947;0;999
28;32.037399;50.353367;0;999
29;32.469360;47.748947;0;999
30;41.766232;33.527462;0;999
31;41.766232;33.527462;0;999
32;46.496861;38.334316;0;999
33;46.496861;38.334316;0;999
34;44.011597;40.520927;0;999
35;38.817257;40.302475;0;999
36;44.984074;41.206020;0;999
37;44.984074;41.206020;0;999
38;44.418751;41.417706;0;999
39;44.418751;41.417706;0;999
40;44.418751;41.417706;0;999
41;45.017719;42.177429;0;999
42;43.503601;43.325951;0;999
43;43.503601;43.325951;0;999
44;43.503601;43.325951;0;999
45;45.471519;37.837791;0;999
46;49.231461;37.853935;0;999
47;45.471519;37.837791;0;999
48;45.471519;37.837791;0;999
49;49.160732;41.395485;0;999
50;45.337273;35.791546;0;999
51;47.226833;40.681755;0;999
52;49.344841;37.964447;0;999
53;47.347591;42.859035;0;999
54;50.995193;33.761925;0;999
55;50.995193;33.761925;0;999
56;50.995193;33.761925;0;999
57;46.061127;31.856789;0;999
58;48.513168;35.772713;0;999
59;48.513168;35.772713;0;999
60;48.513168;35.772713;0;999
61;49.711235;38.591888;0;999
62;51.677654;36.563484;0;999
63;51.677654;36.563484;0;999
64;59.981056;45.990353;0;999
65;59.981056;45.990353;0;999
66;59.981056;45.990353;0;999
67;59.981056;45.990353;0;999
68;62.647129;49.714512;0;999
69;62.647129;49.714512;0;999
70;4.048503;84.928146;1;999
71;4.048503;84.928146;1;999
72;4.048503;84.928146;1;999
73;4.048503;84.928146;1;999
74;4.048503;84.928146;1;999
75;96.217255;97.142891;1;999
76;79.690323;89.348961;1;999
77;83.643448;96.469696;1;999
78;83.643448;96.469696;1;999
79;83.643448;96.469696;1;999
80;83.643448;96.469696;1;999
81;85.357841;2.604919;1;999
82;84.665260;98.979248;1;999
83;84.665260;98.979248;1;999
84;85.040565;95.931602;1;999
85;85.040565;95.931602;1;999
86;85.040565;95.931602;1;999
87;86.644989;90.801117;1;999
88;84.507591;95.788605;1;999
89;93.070122;98.147385;1;999
90;76.781128;90.242302;1;999
91;76.781128;90.242302;1;999
92;76.781128;90.242302;1;999
93;78.240791;94.977562;1;999
94;75.101425;91.132797;1;999
95;78.997849;90.617760;1;999
96;78.240791;94.977562;1;999
97;76.319252;87.949265;1;999
98;77.816071;87.319695;1;999
99;77.816071;87.319695;1;999
100;77.816071;87.319695;1;999
101;80.900581;88.217575;1;999
102;80.900581;88.217575;1;999
103;80.900581;88.217575;1;999
104;83.392570;87.278397;1;999
105;83.392570;87.278397;1;999
106;83.392570;87.278397;1;999
107;83.392570;87.278397;1;999
108;83.392570;87.278397;1;999
109;83.392570;87.278397;1;999
110;83.392570;87.278397;1;999
111;83.392570;87.278397;1;999
112;83.392570;87.278397;1;999
113;83.392570;87.278397;1;999
114;83.392570;87.278397;1;999
115;86.015259;90.612228;1;999
116;86.015259;90.612228;1;999
117;86.015259;90.612228;1;999
118;98.555847;92.821320;1;999
119;98.555847;92.821320;1;999
120;99.684280;84.107903;1;999
121;97.420517;82.260651;1;999
122;93.487213;86.208321;1;999
123;96.230980;83.790520;1;999
124;0.136749;83.538628;1;999
125;0.386375;86.822273;1;999
126;97.030952;86.208527;1;999
127;4.246001;86.805626;1;999
128;2.435632;87.006821;1;999
129;3.064326;88.024940;1;999
130;1.951553;83.658035;1;999
131;1.951553;83.658035;1;999
132;3.317476;79.829895;1;999
133;1.951553;83.658035;1;999
134;95.242546;88.991852;1;999
135;98.838547;89.896027;1;999
136;91.102997;88.106102;1;999
137;92.767593;94.567581;1;999
138;89.767632;99.412109;1;999
139;88.272530;90.388008;1;999
140;92.673714;99.313431;1;999
141;93.227486;94.790413;1;999
142;90.338470;91.848312;1;999
143;98.989876;0.931651;1;999
144;98.989876;0.931651;1;999
145;3.116165;99.626030;1;999
146;95.111664;9.285190;1;999
147;96.726891;9.624212;1;999
148;94.772774;4.908452;1;999
149;94.772774;4.908452;1;999
150;94.772774;4.908452;1;999
151;96.464699;87.355331;1;999
152;96.464699;87.355331;1;999
153;94.408272;85.771568;1;999
154;97.781563;82.008789;1;999
155;93.007233;83.851997;1;999
156;94.842453;86.534653;1;999
157;94.527252;88.416206;1;999
158;94.527252;88.416206;1;999
159;96.047836;82.854523;1;999
160;96.476349;86.388298;1;999
161;99.448593;84.671249;1;999
162;99.448593;84.671249;1;999
163;8.693439;85.243935;2;999
164;8.693439;85.243935;2;999
165;3.792079;87.829811;2;999
166;3.182461;87.488228;2;999
167;0.028137;84.999962;2;999
168;98.592033;82.198608;2;999
169;3.750160;82.702095;2;999
170;1.594772;85.258804;2;999
171;1.594772;85.258804;2;999
172;1.594772;85.258804;2;999
173;1.594772;85.258804;2;999
174;1.594772;85.258804;2;999
175;3.090273;85.457260;2;999
176;0.949982;82.211380;2;999
177;5.646868;82.195068;2;999
178;0.949982;82.211380;2;999
179;96.622147;80.972603;2;999
180;0.949982;82.211380;2;999
181;1.690944;78.107101;2;999
182;98.600967;79.631737;2;999
183;2.380333;78.008621;2;999
184;2.305641;79.300034;2;999
185;0.259811;75.191849;2;999
186;98.600967;79.631737;2;999
187;98.600967;79.631737;2;999
188;98.377159;89.783089;2;999
189;90.857979;90.082382;2;999
190;94.786011;88.056923;2;999
191;91.660278;88.100708;2;999
192;96.352501;91.511574;2;999
193;89.721474;83.211105;2;999
194;86.100311;83.471519;2;999
195;93.704521;85.436829;2;999
196;93.704521;85.436829;2;999
197;97.318604;88.800735;2;999
198;93.704521;85.436829;2;999
199;96.301628;89.903214;2;999
200;95.205902;91.838699;2;999
201;84.972549;96.882416;2;999
202;84.188667;92.033936;2;999
203;92.009506;90.414764;2;999
204;0.881233;87.770638;2;999
205;0.104966;89.103149;2;999
206;0.104966;89.103149;2;999
207;2.174257;92.448792;2;999
208;0.881233;87.770638;2;999
209;0.881233;87.770638;2;999
210;1.468876;85.931435;2;999
211;0.881233;87.770638;2;999
212;0.881233;87.770638;2;999
213;59.001595;8.098233;3;999
214;62.309879;4.198481;3;999
215;59.001595;8.098233;3;999
216;68.387749;17.308578;3;999
217;68.387749;17.308578;3;999
218;71.056877;18.618509;3;999
219;68.387749;17.308578;3;999
220;64.109062;12.985544;3;999
221;68.387749;17.308578;3;999
222;65.751595;20.510525;3;999
223;62.439270;11.801897;3;999
224;62.439270;11.801897;3;999
225;66.381683;25.805946;3;999
226;67.696594;14.286799;3;999
227;67.696594;14.286799;3;999
228;59.040100;9.016722;3;999
229;56.361740;11.360850;3;999
230;0.067780;1.475343;3;999
231;0.067780;1.475343;3;999
232;96.491730;5.042307;3;999
