id;x;y;sp;gen
0;52.341045;49.879868;0;999
1;55.607513;53.562149;0;999
2;46.105259;49.001804;0;999
3;48.567905;49.114197;0;999
4;80.038864;81.319458;0;999
5;82.639603;84.461479;0;999
6;74.649216;82.227669;0;999
7;77.680901;82.178177;0;999
8;77.680901;82.178177;0;999
9;79.124275;81.131096;0;999
10;82.950134;77.988518;0;999
11;84.779724;79.130608;0;999
12;80.614052;79.546211;0;999
13;81.352928;71.862572;0;999
14;92.166359;20.044985;1;999
15;91.742218;18.256460;1;999
16;2.088281;19.095522;1;999
17;2.088281;19.095522;1;999
18;97.137512;28.113949;1;999
19;98.431686;27.728045;1;999
20;94.671684;23.150372;1;999
21;98.584343;26.628098;1;999
22;94.671684;23.150372;1;999
23;94.671684;23.150372;1;999
24;1.747559;31.222425;1;999
25;98.094513;20.966930;1;999
26;89.932541;18.372087;1;999
27;95.464050;9.296414;1;999
28;91.853432;10.162910;1;999
29;91.127739;7.507455;1;999
30;92.740845;11.841257;1;999
31;99.533134;17.448057;1;999
32;95.552773;36.244705;1;999
33;93.776848;40.181087;1;999
34;95.313797;38.969406;1;999
35;96.335419;38.244762;1;999
36;92.355301;44.621181;1;999
37;92.355301;44.621181;1;999
38;92.355301;44.621181;1;999
39;96.360916;43.467178;1;999
40;95.102554;45.489513;1;999
41;98.756630;49.331394;1;999
42;94.587555;52.844101;1;999
43;90.257645;38.006504;1;999
44;89.216881;39.368553;1;999
45;86.037086;31.371021;2;999
46;81.804085;29.693110;2;999
47;86.270897;33.458702;2;999
48;87.686539;37.097645;2;999
49;82.049057;32.213856;2;999
50;85.830917;33.745682;2;999
51;85.830917;33.745682;2;999
52;84.038200;33.811218;2;999
53;84.038200;33.811218;2;999
54;87.689484;31.323999;2;999
55;85.830917;33.745682;2;999
56;86.520721;33.310368;2;999
57;84.952248;30.068771;2;999
58;84.952248;30.068771;2;999
59;79.126747;35.810665;2;999
60;81.523254;31.044062;2;999
61;81.523254;31.044062;2;999
62;82.886642;3.950701;2;999
63;78.700974;7.105976;2;999
64;76.942200;5.354805;2;999
65;86.150604;18.599876;2;999
66;83.572838;18.757271;2;999
67;90.180138;21.426243;2;999
68;93.310043;18.126461;2;999
69;91.911110;12.787086;2;999
70;91.911110;12.787086;2;999
71;78.962494;8.656946;2;999
72;78.130173;7.000309;2;999
73;78.565231;8.890491;2;999
74;79.336052;9.058786;2;999
75;77.888077;16.703663;2;999
76;77.888077;16.703663;2;999
77;76.278793;16.597961;2;999
78;73.743073;17.765282;2;999
79;78.921700;12.467002;2;999
80;69.907684;12.048063;2;999
81;73.999496;8.608086;2;999
82;81.840408;18.573307;2;999
83;89.170303;22.879150;2;999
84;84.378487;18.933311;2;999
85;82.879951;15.274839;2;999
86;87.300293;16.342396;2;999
87;83.838440;10.897973;2;999
88;86.929276;13.322371;2;999
89;86.929276;13.322371;2;999
90;86.929276;13.322371;2;999
91;80.371796;17.450714;2;999
92;83.974670;17.835751;2;999
93;83.974670;17.835751;2;999
94;83.974670;17.835751;2;999
