id;x;y;sp;gen
0;31.991745;5.574778;0;999
1;18.449490;85.550354;0;999
2;34.467907;5.852645;0;999
3;14.542669;31.503433;1;999
4;7.447114;20.470968;1;999
5;6.537405;20.177053;1;999
6;18.464445;28.479733;1;999
7;22.805510;35.596107;1;999
8;19.365433;30.723499;1;999
9;19.675568;34.597778;1;999
10;19.623978;25.801262;1;999
11;11.982143;19.401297;1;999
12;9.320551;18.333897;1;999
13;9.474485;25.431927;1;999
14;15.444370;23.580620;1;999
15;18.806974;21.944750;1;999
16;97.052299;36.765434;0;999
17;99.525017;37.446129;0;999
18;4.649783;22.776167;0;999
19;4.476647;28.388407;0;999
20;1.206667;30.458221;0;999
21;3.675591;31.271944;0;999
22;8.662786;29.318089;0;999
23;9.528067;25.765150;0;999
24;7.318645;20.147495;0;999
25;29.289181;8.459100;0;999
26;32.263336;4.513407;0;999
27;36.658718;6.721353;0;999
28;36.962105;98.114014;0;999
29;36.563690;2.367359;0;999
30;19.584007;4.024535;0;999
31;17.643257;3.539240;0;999
32;19.998772;99.410851;0;999
33;49.653347;11.919914;0;999
34;56.623795;7.697540;0;999
35;57.130203;6.853685;0;999
36;49.988346;2.864196;0;999
37;47.231422;98.299904;0;999
38;45.613506;98.209114;0;999
39;48.353024;2.332746;0;999
40;50.771015;3.971091;0;999
41;39.214901;84.559296;0;999
42;36.015606;80.367935;0;999
43;36.276173;77.196579;0;999
44;38.006958;76.262192;0;999
45;45.553215;12.199571;0;999
46;46.426178;12.106359;0;999
47;57.943497;18.490280;0;999
48;54.544170;18.636410;0;999
49;53.633553;12.017577;0;999
50;49.205303;11.341301;0;999
51;50.379116;15.742991;0;999
52;49.451725;21.387241;0;999
53;48.336143;21.382465;0;999
54;49.519890;13.079023;0;999
55;52.053112;12.634528;0;999
56;48.873238;16.217424;0;999
57;53.936985;17.422792;0;999
58;48.876163;15.062556;0;999
59;52.640282;6.602844;0;999
60;45.785606;7.915549;0;999
61;52.421036;13.215342;0;999
62;51.413799;15.590706;0;999
63;51.413799;15.590706;0;999
64;33.441887;98.886009;0;999
65;33.441887;98.886009;0;999
66;39.248203;3.307387;0;999
67;33.169342;7.606639;0;999
68;39.443264;8.782040;0;999
69;39.570183;8.803667;0;999
70;21.724504;9.573676;0;999
71;33.819466;17.321291;0;999
72;31.843521;18.333441;0;999
73;35.667198;20.224833;0;999
74;38.036869;17.860529;0;999
75;27.690624;1.291397;0;999
76;54.145622;9.183881;0;999
77;36.536873;3.441001;0;999
78;39.695076;10.680454;0;999
79;47.095459;11.428375;0;999
80;51.429024;6.755050;0;999
81;49.908112;0.809397;0;999
82;49.926208;3.937412;0;999
83;46.701736;3.312913;0;999
84;49.506752;4.227538;0;999
85;53.151058;5.089353;0;999
86;49.903461;8.248238;0;999
87;34.002052;14.332181;0;999
88;37.027630;19.134586;0;999
89;45.840202;12.043034;0;999
90;32.953373;17.788427;0;999
91;29.392941;17.640968;0;999
92;33.049187;20.229004;0;999
93;51.412624;10.992021;0;999
94;51.111076;12.473762;0;999
95;49.779518;10.495491;0;999
96;51.111076;12.473762;0;999
97;29.937565;3.720941;0;999
98;41.999100;4.182447;0;999
99;41.931454;10.379169;0;999
100;41.392975;96.898903;0;999
101;36.380783;11.463707;0;999
102;38.293091;8.890360;0;999
103;37.488491;10.127220;0;999
104;27.575630;12.458375;0;999
105;30.611469;16.179594;0;999
106;18.948788;17.406345;0;999
107;26.163977;16.915920;0;999
108;25.960596;10.306578;0;999
109;30.175734;98.938423;0;999
110;26.714954;0.155203;0;999
111;24.580742;92.115608;0;999
112;26.870693;98.528564;0;999
113;26.870693;98.528564;0;999
114;29.276720;98.039581;0;999
115;43.323944;93.856216;0;999
116;41.566200;98.378136;0;999
117;39.695221;96.604073;0;999
118;49.238762;10.813088;0;999
119;53.860275;9.005434;0;999
120;65.749893;7.343024;0;999
121;61.221569;2.958274;0;999
122;59.648041;4.907030;0;999
123;51.865944;9.611568;0;999
124;49.050205;15.791172;0;999
125;52.228809;15.958808;0;999
126;46.997044;11.292913;0;999
127;49.073219;13.263472;0;999
128;50.365959;13.925045;0;999
129;59.067848;14.218950;0;999
130;50.943111;19.943211;0;999
131;49.896469;16.327728;0;999
132;49.896469;16.327728;0;999
133;46.545776;14.888582;0;999
134;46.819672;16.548954;0;999
135;45.375496;12.380351;0;999
136;45.375496;12.380351;0;999
137;43.445629;14.136465;0;999
138;40.932686;11.022499;0;999
139;39.989468;10.837240;0;999
140;55.995537;98.216026;0;999
141;51.202061;97.128174;0;999
142;48.399391;93.562248;0;999
143;40.771648;89.051880;0;999
144;39.466862;90.462898;0;999
145;43.507225;96.712540;0;999
146;46.592598;96.404808;0;999
147;49.200634;0.803894;0;999
148;44.979778;94.823593;0;999
149;45.188175;96.931496;0;999
150;45.188175;96.931496;0;999
151;36.034931;13.457508;0;999
152;36.034931;13.457508;0;999
153;43.599133;7.443276;0;999
154;45.016617;8.439325;0;999
155;38.178501;7.934324;0;999
156;50.230690;99.646088;0;999
157;51.076054;1.163178;0;999
158;45.726948;6.955924;0;999
159;43.965313;95.152489;0;999
160;48.301292;96.967834;0;999
161;56.000065;10.492712;0;999
162;52.440201;7.309818;0;999
163;56.087730;12.665995;0;999
164;55.044922;11.847992;0;999
165;54.972729;0.394865;0;999
166;49.905788;4.739796;0;999
167;48.333118;12.074571;0;999
168;50.729904;14.451307;0;999
169;36.510818;22.428951;0;999
170;61.282688;14.171227;0;999
171;63.225964;16.654661;0;999
172;26.299969;12.475779;0;999
173;21.641335;19.487492;0;999
174;26.098492;18.627239;0;999
175;24.115173;17.818161;0;999
176;24.277750;11.202951;0;999
177;26.105583;12.309722;0;999
178;29.344307;5.618481;0;999
179;24.700083;9.486327;0;999
180;27.468037;12.678659;0;999
181;21.867649;4.696866;0;999
182;24.227392;7.873517;0;999
183;26.663080;7.128811;0;999
184;26.745697;3.819310;0;999
185;31.375134;9.004560;0;999
186;26.663080;7.128811;0;999
187;27.952583;9.417305;0;999
188;30.252420;7.594512;0;999
189;23.003635;17.359652;0;999
190;32.116077;15.872239;0;999
191;18.339539;17.095179;0;999
192;28.431301;12.895797;0;999
193;11.514441;3.115558;0;999
194;16.828276;2.264873;0;999
195;19.450958;6.729416;0;999
196;14.877953;9.110254;0;999
197;23.714607;4.549930;0;999
198;29.612202;1.224810;0;999
199;31.767456;10.560472;0;999
200;30.877527;9.544471;0;999
201;29.657438;30.526068;0;999
202;46.722794;21.388298;0;999
203;43.871059;7.314203;0;999
204;29.804028;86.348648;0;999
205;21.488049;87.213264;0;999
206;27.739887;83.858849;0;999
207;29.509060;88.127037;0;999
208;41.327061;4.224468;0;999
209;43.375900;96.392700;0;999
210;27.992155;3.311111;0;999
211;30.937170;0.837528;0;999
212;25.741415;8.155307;0;999
213;49.605095;30.493191;0;999
214;41.278881;39.773003;0;999
215;43.774178;38.666672;0;999
