id;x;y;sp;gen
0;54.515491;86.260063;0;999
1;61.637836;68.647568;0;999
2;48.947556;94.292435;0;999
3;78.113556;23.932878;0;999
4;11.047483;12.486355;0;999
5;17.623066;9.258014;0;999
6;99.295242;9.969061;0;999
7;4.339592;3.460558;0;999
8;99.348450;10.579147;0;999
9;14.805752;5.110467;0;999
10;26.782368;7.391052;0;999
11;23.466908;13.598518;0;999
12;30.744753;80.304359;0;999
13;36.196762;86.130615;0;999
14;38.579124;80.024414;0;999
15;47.075527;81.053093;0;999
16;46.154198;83.629967;0;999
17;9.155679;85.144325;0;999
18;5.919954;92.086113;0;999
19;1.027824;81.958504;0;999
20;99.002228;86.046280;0;999
21;97.974106;79.892349;0;999
22;94.110870;84.753311;0;999
23;98.498184;85.065475;0;999
24;91.427055;86.343811;0;999
25;90.828705;80.777824;0;999
26;16.974705;3.468430;0;999
27;11.168422;98.122536;0;999
28;5.277908;91.643547;0;999
29;5.309310;98.538956;0;999
30;11.217926;95.331528;0;999
31;3.837196;8.642907;0;999
32;2.114655;8.216896;0;999
33;21.246351;9.502701;0;999
34;8.379942;2.748423;0;999
35;6.540617;94.781693;0;999
36;59.553772;35.548397;0;999
37;57.609928;27.967121;0;999
38;64.993706;33.863552;0;999
39;60.358913;27.339970;0;999
40;55.949371;36.746967;0;999
41;55.220409;34.158039;0;999
42;76.394150;25.454807;0;999
43;65.601128;25.794575;0;999
44;74.433487;18.980986;0;999
45;77.150887;24.044380;0;999
46;77.325844;21.186934;0;999
47;78.158318;25.398792;0;999
48;72.026794;26.663034;0;999
49;68.660461;26.788565;0;999
50;51.736202;22.100376;0;999
51;49.308914;15.236909;0;999
52;45.585548;18.459845;0;999
53;48.400333;27.995495;0;999
54;46.390911;23.887371;0;999
55;50.696156;31.234005;0;999
56;47.258175;26.020142;0;999
57;52.925079;27.376842;0;999
58;50.482681;19.258814;0;999
59;48.680702;27.111649;0;999
60;47.985683;26.207504;0;999
61;50.559505;22.768990;0;999
62;52.191475;30.341240;0;999
63;47.605480;26.555668;0;999
64;46.092384;21.065994;0;999
65;60.614883;24.764988;0;999
66;64.175583;25.381531;0;999
67;50.786163;22.838898;0;999
68;50.980263;24.850212;0;999
69;57.029713;85.001785;0;999
70;56.885101;83.306213;0;999
71;75.900841;91.174690;0;999
72;70.304115;87.837463;0;999
73;72.493179;87.356079;0;999
74;74.379082;88.317390;0;999
75;80.879944;93.468414;0;999
76;58.098015;89.372963;0;999
77;77.245087;83.403496;0;999
78;75.654373;89.944603;0;999
79;74.558807;93.467422;0;999
80;74.721535;94.808823;0;999
81;71.816185;94.308243;0;999
82;76.993919;87.494736;0;999
83;74.589493;86.248703;0;999
84;71.358322;82.172623;0;999
85;82.951294;89.710831;0;999
86;76.709717;92.667999;0;999
87;83.643852;96.237312;0;999
88;81.310532;97.016869;0;999
89;83.643997;90.860847;0;999
90;48.407253;64.118790;0;999
91;47.225426;53.944557;0;999
92;47.118622;58.749954;0;999
93;44.244156;55.802246;0;999
94;60.579967;64.264297;0;999
95;62.462894;63.447945;0;999
96;62.964638;63.002964;0;999
97;59.717190;67.772583;0;999
98;62.061943;54.233494;0;999
