gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;2
129;2
130;1
131;1
132;1
133;2
134;2
135;2
136;2
137;2
138;2
139;2
140;2
141;2
142;2
143;2
144;2
145;2
146;2
147;1
148;1
149;1
150;1
151;1
152;3
153;3
154;3
155;3
156;3
157;3
158;3
159;3
160;2
161;2
162;2
163;3
164;2
165;3
166;3
167;3
168;3
169;3
170;3
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;3
179;3
180;3
181;3
182;3
183;3
184;4
185;4
186;4
187;4
188;4
189;4
190;4
191;4
192;4
193;4
194;4
195;4
196;3
197;4
198;4
199;3
200;3
201;3
202;3
203;3
204;3
205;3
206;3
207;4
208;4
209;4
210;4
211;2
212;3
213;5
214;5
215;6
216;7
217;7
218;8
219;8
220;8
221;8
222;9
223;10
224;10
225;10
226;11
227;11
228;11
229;11
230;11
231;11
232;11
233;11
234;11
235;9
236;10
237;9
238;9
239;10
240;10
241;11
242;11
243;12
244;11
245;12
246;12
247;12
248;12
249;10
250;10
251;11
252;10
253;10
254;10
255;10
256;9
257;9
258;10
259;11
260;11
261;11
262;11
263;11
264;12
265;12
266;12
267;12
268;12
269;12
270;12
271;12
272;12
273;12
274;13
275;12
276;11
277;11
278;11
279;11
280;11
281;11
282;11
283;11
284;11
285;11
286;10
287;11
288;11
289;11
290;11
291;11
292;11
293;10
294;10
295;11
296;11
297;11
298;10
299;10
300;10
301;10
302;10
303;10
304;10
305;11
306;11
307;11
308;11
309;12
310;11
311;11
312;10
313;10
314;10
315;10
316;10
317;10
318;11
319;11
320;11
321;11
322;11
323;12
324;12
325;12
326;12
327;12
328;12
329;12
330;12
331;12
332;12
333;12
334;11
335;9
336;9
337;9
338;9
339;9
340;8
341;8
342;8
343;8
344;8
345;8
346;7
347;7
348;7
349;9
350;9
351;9
352;9
353;9
354;9
355;9
356;9
357;9
358;9
359;9
360;8
361;8
362;9
363;9
364;9
365;9
366;10
367;11
368;12
369;11
370;10
371;10
372;10
373;9
374;8
375;9
376;8
377;8
378;10
379;10
380;11
381;11
382;11
383;10
384;9
385;9
386;10
387;11
388;10
389;10
390;10
391;9
392;10
393;11
394;11
395;12
396;12
397;13
398;11
399;11
400;12
401;13
402;14
403;14
404;14
405;14
406;11
407;11
408;12
409;12
410;12
411;11
412;11
413;10
414;10
415;10
416;11
417;11
418;11
419;12
420;11
421;11
422;12
423;12
424;14
425;15
426;14
427;13
428;13
429;13
430;14
431;13
432;13
433;13
434;12
435;12
436;12
437;12
438;13
439;13
440;13
441;13
442;14
443;14
444;14
445;13
446;14
447;14
448;14
449;14
450;14
451;15
452;15
453;16
454;15
455;15
456;16
457;17
458;18
459;18
460;18
461;18
462;18
463;18
464;19
465;18
466;17
467;17
468;16
469;16
470;16
471;15
472;15
473;15
474;15
475;15
476;15
477;14
478;14
479;14
480;13
481;13
482;13
483;13
484;13
485;13
486;14
487;14
488;14
489;14
490;13
491;12
492;12
493;13
494;12
495;11
496;11
497;10
498;11
499;12
500;12
501;12
502;11
503;11
504;10
505;10
506;10
507;10
508;11
509;11
510;11
511;11
512;11
513;12
514;12
515;12
516;12
517;12
518;12
519;12
520;11
521;11
522;11
523;11
524;11
525;11
526;11
527;9
528;9
529;10
530;9
531;9
532;9
533;9
534;8
535;9
536;10
537;10
538;11
539;10
540;10
541;10
542;11
543;11
544;11
545;11
546;11
547;11
548;10
549;10
550;10
551;10
552;10
553;10
554;10
555;10
556;10
557;10
558;10
559;10
560;10
561;10
562;10
563;10
564;9
565;9
566;9
567;9
568;9
569;8
570;8
571;8
572;8
573;8
574;8
575;8
576;8
577;8
578;8
579;8
580;8
581;8
582;8
583;8
584;8
585;8
586;9
587;9
588;10
589;11
590;11
591;11
592;11
593;11
594;11
595;11
596;11
597;11
598;11
599;11
600;11
601;11
602;11
603;11
604;10
605;10
606;10
607;10
608;9
609;9
610;9
611;9
612;10
613;9
614;9
615;8
616;8
617;9
618;9
619;10
620;10
621;10
622;9
623;10
624;10
625;10
626;10
627;10
628;9
629;9
630;9
631;9
632;9
633;9
634;9
635;9
636;9
637;11
638;12
639;12
640;12
641;11
642;12
643;10
644;11
645;11
646;11
647;11
648;12
649;12
650;13
651;14
652;13
653;13
654;14
655;14
656;14
657;15
658;15
659;15
660;14
661;15
662;15
663;15
664;15
665;15
666;15
667;15
668;15
669;14
670;14
671;13
672;14
673;14
674;15
675;15
676;15
677;14
678;15
679;14
680;14
681;14
682;15
683;15
684;15
685;14
686;15
687;15
688;15
689;16
690;16
691;16
692;15
693;15
694;15
695;15
696;14
697;14
698;13
699;13
700;13
701;13
702;14
703;14
704;14
705;14
706;14
707;14
708;14
709;14
710;13
711;13
712;13
713;13
714;13
715;13
716;13
717;14
718;14
719;14
720;13
721;13
722;13
723;13
724;13
725;12
726;12
727;11
728;11
729;11
730;11
731;11
732;11
733;11
734;11
735;11
736;11
737;11
738;11
739;11
740;11
741;10
742;12
743;12
744;12
745;12
746;13
747;13
748;13
749;12
750;12
751;13
752;13
753;13
754;14
755;14
756;14
757;13
758;13
759;13
760;13
761;12
762;12
763;12
764;12
765;12
766;13
767;13
768;13
769;12
770;12
771;12
772;12
773;12
774;12
775;12
776;12
777;12
778;12
779;11
780;13
781;13
782;13
783;13
784;13
785;13
786;14
787;14
788;14
789;15
790;15
791;14
792;15
793;14
794;13
795;15
796;15
797;17
798;17
799;17
800;17
801;18
802;17
803;17
804;17
805;17
806;17
807;18
808;18
809;18
810;18
811;18
