gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
162;2
163;1
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
180;2
181;2
182;2
183;2
184;2
185;2
186;2
187;2
188;3
189;3
190;3
191;3
192;3
193;3
194;3
195;3
196;3
197;3
198;3
199;3
200;3
201;3
202;3
203;3
204;3
205;3
206;2
207;3
208;3
209;3
210;3
211;3
212;3
213;3
214;3
215;3
216;3
217;3
218;3
219;3
220;3
221;3
222;4
223;4
224;4
225;4
226;4
227;4
228;4
229;4
230;4
231;4
232;4
233;5
234;5
235;5
236;5
237;5
238;4
239;5
240;5
241;5
242;5
243;5
244;5
245;4
246;4
247;4
248;4
249;4
250;5
251;5
252;5
253;6
254;6
255;6
256;5
257;5
258;5
259;5
260;5
261;5
262;5
263;5
264;5
265;5
266;5
267;5
268;5
269;5
270;5
271;5
272;5
273;6
274;5
275;6
276;6
277;6
278;6
279;6
280;6
281;6
282;6
283;6
284;6
285;6
286;6
287;6
288;6
289;6
290;6
291;5
292;5
293;5
294;6
295;6
296;6
297;6
298;6
299;6
300;6
301;6
302;6
303;6
304;6
305;6
306;6
307;6
308;6
309;6
310;6
311;6
312;6
313;6
314;6
315;6
316;7
317;7
318;8
319;8
320;6
321;6
322;6
323;6
324;6
325;6
326;6
327;6
328;6
329;6
330;6
331;6
332;6
333;6
334;6
335;7
336;7
337;7
338;7
339;7
340;7
341;7
342;7
343;7
344;7
345;7
346;7
347;7
348;7
349;7
350;7
351;7
352;8
353;8
354;7
355;9
356;9
357;9
358;9
359;9
360;9
361;9
362;9
363;9
364;9
365;9
366;9
367;10
368;10
369;10
370;11
371;11
372;10
373;11
374;11
375;11
376;11
377;11
378;11
379;11
380;12
381;12
382;13
383;13
384;13
385;13
386;13
387;13
388;13
389;13
390;13
391;13
392;13
393;12
394;12
395;12
396;12
397;12
398;12
399;12
400;12
401;12
402;13
403;13
404;13
405;13
406;12
407;12
408;12
409;13
410;13
411;14
412;14
413;14
414;14
415;14
416;15
417;17
418;17
419;16
420;16
421;17
422;17
423;17
424;17
425;17
426;17
427;17
428;17
429;17
430;17
431;17
432;16
433;17
434;18
435;16
436;15
437;16
438;16
439;16
440;17
441;18
442;17
443;17
444;15
445;15
446;16
447;15
448;16
449;16
450;16
451;16
452;17
453;18
454;19
455;19
456;20
457;20
458;19
459;19
460;19
461;18
462;20
463;20
464;19
465;19
466;19
467;20
468;20
469;20
470;20
471;20
472;20
473;21
474;21
475;20
476;20
477;19
478;19
479;19
480;18
481;18
482;20
483;21
484;21
485;21
486;24
487;25
488;25
489;25
490;25
491;25
492;25
493;23
494;24
495;24
496;24
497;24
498;24
499;25
500;24
501;24
502;23
503;24
504;24
505;24
506;24
507;25
508;25
509;25
510;25
511;25
512;25
513;23
514;23
515;23
516;23
517;23
518;23
519;23
520;24
521;24
522;24
523;24
524;23
525;24
526;24
527;25
528;24
529;25
530;25
531;27
532;27
533;27
534;27
535;27
536;27
537;27
538;27
539;27
540;27
541;27
542;27
543;27
544;27
545;27
546;27
547;27
548;27
549;28
550;28
551;28
552;28
553;28
554;28
555;28
556;27
557;28
558;28
559;28
560;28
561;27
562;27
563;27
564;27
565;27
566;28
567;28
568;29
569;30
570;30
571;30
572;30
573;29
574;29
575;29
576;31
577;31
578;31
579;31
580;31
581;31
582;31
583;30
584;31
585;31
586;31
587;31
588;30
589;30
590;30
591;31
592;31
593;31
594;31
595;31
596;32
597;32
598;32
599;32
600;32
601;33
602;33
603;33
604;33
605;33
606;33
607;33
608;34
609;34
610;34
611;34
612;34
613;34
614;34
615;34
616;34
617;34
618;34
619;35
620;35
621;35
622;35
623;35
624;35
625;35
626;35
627;34
628;34
629;34
630;34
631;34
632;34
633;34
634;36
635;37
636;37
637;37
638;37
639;37
640;37
641;37
642;37
643;38
644;38
645;38
646;38
647;39
648;39
649;39
650;39
651;39
652;39
653;39
654;39
655;40
656;41
657;41
658;41
659;42
660;42
661;42
662;43
663;42
664;42
665;42
666;42
667;42
668;43
669;43
670;43
671;42
672;42
673;41
674;41
675;42
676;42
677;41
678;41
679;43
680;43
681;43
682;44
683;44
684;44
685;44
686;44
687;45
688;45
689;45
690;45
691;45
692;45
693;45
694;44
695;45
696;45
697;45
698;46
699;46
700;46
701;46
702;47
703;47
704;48
705;48
706;48
707;48
708;48
709;49
710;48
711;48
712;48
713;50
714;49
715;49
716;49
717;49
718;49
719;50
720;50
721;50
722;50
723;50
724;50
725;50
726;51
727;51
728;50
729;51
730;51
731;51
732;51
733;51
734;52
735;51
736;52
737;52
738;52
739;52
740;53
741;53
742;53
743;53
744;53
745;53
746;53
747;53
748;53
749;53
750;53
751;53
752;53
753;53
754;52
755;53
756;53
757;53
758;53
759;53
760;53
761;54
762;54
763;54
764;54
765;54
766;54
767;54
768;54
769;54
770;54
771;54
772;54
773;54
774;54
775;54
776;54
777;54
778;54
779;54
780;54
781;55
782;55
783;55
784;55
785;55
786;55
787;55
788;55
789;55
790;55
791;55
792;55
793;55
794;55
795;55
796;55
797;55
798;55
799;55
800;55
801;55
802;55
803;55
804;55
805;55
806;55
807;55
808;55
809;55
810;55
811;55
