gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;2
103;2
104;2
105;3
106;2
107;2
108;2
109;2
110;2
111;2
112;2
113;2
114;2
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;4
131;4
132;4
133;5
134;5
135;5
136;7
137;6
138;7
139;6
140;6
141;6
142;6
143;6
144;7
145;8
146;5
147;7
148;7
149;6
150;7
151;8
152;7
153;7
154;8
155;9
156;10
157;10
158;9
159;9
160;9
161;10
162;10
163;10
164;12
165;12
166;13
167;12
168;13
169;13
170;13
171;13
172;14
173;16
174;15
175;15
176;16
177;16
178;17
179;16
180;17
181;16
182;16
183;16
184;18
185;17
186;18
187;17
188;18
189;18
190;20
191;17
192;17
193;16
194;17
195;16
196;16
197;16
198;17
199;19
200;19
201;19
202;19
203;21
204;20
205;20
206;20
207;22
208;24
209;26
210;26
211;27
212;27
213;25
214;25
215;23
216;24
217;23
218;26
219;24
220;24
221;25
222;27
223;23
224;25
225;24
226;25
227;26
228;25
229;27
230;27
231;28
232;28
233;25
234;25
235;25
236;25
237;26
238;26
239;25
240;25
241;26
242;24
243;26
244;25
245;24
246;26
247;21
248;20
249;23
250;22
251;20
252;20
253;22
254;22
255;26
256;25
257;26
258;25
259;28
260;26
261;27
262;25
263;26
264;27
265;27
266;27
267;26
268;26
269;27
270;27
271;26
272;27
273;26
274;27
275;26
276;26
277;27
278;25
279;26
280;23
281;25
282;23
283;23
284;24
285;23
286;20
287;20
288;20
289;20
290;21
291;20
292;21
293;20
294;20
295;20
296;20
297;20
298;20
299;21
