gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;2
92;2
93;2
94;2
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;2
111;1
112;2
113;2
114;2
115;2
116;2
117;3
118;3
119;3
120;3
121;3
122;3
123;2
124;2
125;2
126;2
127;2
128;2
129;3
130;3
131;2
132;2
133;2
134;2
135;2
136;2
137;2
138;2
139;3
140;3
141;3
142;3
143;3
144;2
145;2
146;2
147;2
148;2
149;2
150;2
151;2
152;2
153;2
154;1
155;2
156;2
157;1
158;1
159;1
160;2
161;2
162;2
163;2
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;3
172;3
173;3
174;3
175;3
176;2
177;3
178;2
179;3
180;3
181;3
182;3
183;3
184;4
185;3
186;3
187;4
188;4
189;4
190;4
191;4
192;4
193;4
194;4
195;4
196;5
197;6
198;6
199;4
200;5
201;5
202;5
203;5
204;4
205;4
206;5
207;6
208;6
209;5
210;6
211;5
212;5
213;5
214;5
215;5
216;5
217;5
218;6
219;6
220;6
221;6
222;5
223;5
224;4
225;4
226;4
227;4
228;4
229;3
230;3
231;3
232;3
233;3
234;3
235;3
236;4
237;4
238;4
239;4
240;4
241;4
242;4
243;4
244;4
245;4
246;4
247;4
248;4
249;4
250;3
251;3
252;3
253;3
254;3
255;3
256;5
257;4
258;4
259;3
260;4
261;4
262;4
263;3
264;3
265;3
266;3
267;3
268;3
269;4
270;4
271;3
272;3
273;5
274;6
275;6
276;5
277;4
278;6
279;6
280;5
281;5
282;6
283;5
284;5
285;6
286;6
287;6
288;6
289;6
290;7
291;7
292;8
293;9
294;10
295;10
296;10
297;9
298;10
299;10
300;9
301;10
302;9
303;10
304;9
305;11
306;11
307;11
308;11
309;10
310;10
311;10
312;9
313;10
314;11
315;11
316;11
317;12
318;11
319;10
320;10
321;10
322;9
323;10
324;10
325;11
326;13
327;13
328;13
329;13
330;13
331;12
332;12
333;12
334;15
335;14
336;13
337;13
338;14
339;14
340;14
341;14
342;12
343;11
344;11
345;12
346;12
347;12
348;12
349;13
350;13
351;14
352;14
353;14
354;14
355;13
356;14
357;14
358;13
359;14
360;14
361;13
362;13
363;13
364;14
365;15
366;15
367;15
368;14
369;14
370;14
371;14
372;13
373;13
374;13
375;13
376;13
377;13
378;13
379;13
380;13
381;14
382;14
383;15
384;15
385;16
386;15
387;15
388;15
389;15
390;15
391;15
392;16
393;16
394;16
395;16
396;16
397;16
398;15
399;15
400;14
401;15
402;14
403;15
404;15
405;15
406;14
407;14
408;14
409;15
410;15
411;15
412;15
413;14
414;15
415;15
416;15
417;15
418;15
419;14
420;14
421;14
422;14
423;14
424;14
425;14
426;14
427;14
428;14
429;14
430;16
431;16
432;16
433;16
434;16
435;16
436;16
437;16
438;16
439;16
440;15
441;15
442;15
443;15
444;15
445;16
446;18
447;18
448;17
449;17
450;16
451;16
452;16
453;16
454;17
455;16
456;15
457;15
458;15
459;16
460;16
461;16
462;16
463;17
464;17
465;17
466;17
467;17
468;16
469;16
470;16
471;16
472;15
473;16
474;16
475;16
476;17
477;16
478;15
479;15
480;15
481;15
482;15
483;15
484;14
485;15
486;16
487;16
488;16
489;16
490;16
491;16
492;16
493;17
494;17
495;16
496;14
497;14
498;13
499;14
500;14
501;13
502;14
503;14
504;13
505;13
506;13
507;13
508;13
509;13
510;13
511;13
512;14
513;14
514;13
515;13
516;13
517;13
518;13
519;13
520;13
521;13
522;12
523;13
524;12
525;12
526;12
527;11
528;12
529;12
530;12
531;12
532;12
533;12
534;11
535;11
536;11
537;11
538;9
539;9
540;10
541;9
542;9
543;9
544;9
545;9
546;10
547;10
548;9
549;8
550;8
551;8
552;8
553;8
554;9
555;9
556;9
557;9
558;9
559;9
560;9
561;9
562;10
563;10
564;10
565;10
566;10
567;10
568;10
569;9
570;9
571;9
572;9
573;9
574;9
575;9
576;9
577;9
578;9
579;9
580;9
581;9
582;9
583;9
584;9
585;9
586;9
587;9
588;9
589;9
590;9
591;9
592;9
593;9
594;9
595;10
596;11
597;11
598;11
599;11
600;10
601;10
602;9
603;9
604;9
605;9
606;8
607;8
608;8
609;7
610;6
611;6
612;6
613;6
614;6
615;6
616;6
617;6
618;6
619;6
620;6
621;6
622;6
623;6
624;6
625;6
626;6
627;6
628;6
629;6
630;6
631;6
632;6
633;6
634;6
635;6
636;6
637;6
638;7
639;6
640;6
641;6
642;6
643;6
644;7
645;6
646;6
647;7
648;7
649;7
650;7
651;7
652;7
653;9
654;9
655;9
656;9
657;9
658;9
659;9
660;9
661;9
662;9
663;9
664;8
665;8
666;8
667;8
668;9
669;8
670;8
671;8
672;8
673;8
674;9
675;8
676;8
677;8
678;8
679;8
680;8
681;8
682;8
683;8
684;9
685;9
686;9
687;9
688;9
689;8
690;8
691;8
692;10
693;9
694;9
695;10
696;9
697;10
698;10
699;11
700;11
701;10
702;10
703;11
704;10
705;10
706;10
707;10
708;11
709;11
710;11
711;11
712;11
713;11
714;11
715;12
716;12
717;12
718;12
719;12
720;11
721;12
722;12
723;12
724;12
725;12
726;13
727;13
728;13
729;13
730;14
731;15
732;15
733;13
734;12
735;12
736;12
737;14
738;14
739;14
740;14
741;12
742;12
743;13
744;13
745;14
746;14
747;13
748;14
749;14
750;14
751;14
752;14
753;14
754;15
755;15
756;15
757;15
758;15
759;14
760;15
761;14
762;14
763;15
764;14
765;14
766;14
767;14
768;14
769;14
770;14
771;14
772;14
773;14
774;14
775;14
776;14
777;14
778;14
779;14
780;15
781;15
782;15
783;15
784;15
785;15
786;15
787;15
788;15
789;15
790;15
791;15
792;15
793;15
794;15
795;15
796;14
797;14
798;14
799;14
800;14
801;15
802;14
803;14
804;14
805;15
806;15
807;15
808;15
809;15
810;15
811;15
