gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;2
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;2
124;2
125;2
126;2
127;2
128;2
129;2
130;2
131;2
132;2
133;2
134;2
135;2
136;2
137;2
138;2
139;3
140;3
141;3
142;3
143;3
144;2
145;2
146;2
147;2
148;2
149;2
150;2
151;2
152;2
153;2
154;3
155;3
156;3
157;3
158;3
159;3
160;3
161;3
162;3
163;3
164;4
165;7
166;6
167;6
168;6
169;6
170;6
171;6
172;6
173;6
174;5
175;6
176;6
177;6
178;6
179;6
180;6
181;6
182;6
183;6
184;6
185;6
186;6
187;6
188;7
189;7
190;7
191;7
192;5
193;6
194;6
195;5
196;5
197;6
198;6
199;5
200;5
201;5
202;5
203;6
204;5
205;6
206;5
207;6
208;7
209;7
210;6
211;6
212;6
213;8
214;8
215;9
216;10
217;10
218;10
219;10
220;10
221;12
222;12
223;12
224;11
225;11
226;11
227;11
228;12
229;11
230;11
231;11
232;11
233;11
234;11
235;12
236;13
237;11
238;11
239;11
240;13
241;14
242;14
243;14
244;14
245;14
246;14
247;14
248;13
249;12
250;12
251;12
252;11
253;12
254;12
255;12
256;11
257;11
258;11
259;12
260;13
261;13
262;11
263;11
264;11
265;11
266;12
267;12
268;12
269;12
270;12
271;12
272;13
273;12
274;11
275;11
276;12
277;12
278;12
279;12
280;13
281;13
282;13
283;13
284;13
285;12
286;12
287;12
288;12
289;12
290;12
291;12
292;11
293;10
294;10
295;10
296;10
297;10
298;9
299;9
300;9
301;9
302;9
303;9
304;9
305;9
306;9
307;9
308;10
309;10
310;10
311;10
312;9
313;9
314;9
315;9
316;9
317;11
318;11
319;12
320;12
321;12
322;11
323;11
324;11
325;11
326;11
327;11
328;11
329;11
330;11
331;11
332;11
333;9
334;9
335;9
336;9
337;9
338;8
339;8
340;8
341;7
342;7
343;7
344;7
345;7
346;7
347;8
348;7
349;7
350;7
351;7
352;7
353;7
354;7
355;7
356;7
357;7
358;7
359;7
360;7
361;7
362;9
363;9
364;8
365;8
366;8
367;8
368;7
369;7
370;8
371;8
372;8
373;7
374;7
375;7
376;8
377;8
378;8
379;8
380;9
381;8
382;8
383;9
384;10
385;10
386;10
387;9
388;10
389;9
390;10
391;9
392;10
393;10
394;11
395;11
396;9
397;9
398;9
399;10
400;9
401;10
402;11
403;10
404;10
405;10
406;10
407;10
408;10
409;10
410;11
411;10
412;10
413;10
414;10
415;10
416;10
417;10
418;10
419;10
420;10
421;11
422;11
423;11
424;11
425;11
426;11
427;10
428;10
429;10
430;10
431;10
432;10
433;10
434;10
435;10
436;9
437;9
438;9
439;9
440;9
441;9
442;10
443;10
444;10
445;10
446;10
447;10
448;10
449;10
450;9
451;9
452;9
453;9
454;9
455;9
456;9
457;10
458;10
459;9
460;9
461;9
462;9
463;9
464;11
465;10
466;11
467;11
468;10
469;11
470;11
471;10
472;11
473;12
474;11
475;11
476;11
477;10
478;9
479;10
480;9
481;9
482;9
483;10
484;11
485;11
486;11
487;11
488;10
489;11
490;11
491;12
492;14
493;14
494;14
495;13
496;13
497;12
498;12
499;11
500;11
501;11
502;11
503;11
504;10
505;11
506;11
507;11
508;11
509;11
510;11
511;11
512;12
513;12
514;11
515;11
516;11
517;11
518;10
519;10
520;10
521;10
522;10
523;10
524;10
525;10
526;10
527;10
528;10
529;10
530;10
531;11
532;11
533;11
534;11
535;11
536;11
537;12
538;12
539;12
540;13
541;13
542;12
543;12
544;12
545;12
546;12
547;12
548;13
549;12
550;12
551;12
552;12
553;12
554;13
555;12
556;12
557;13
558;13
559;13
560;14
561;12
562;11
563;12
564;12
565;11
566;11
567;11
568;11
569;11
570;11
571;11
572;11
573;11
574;11
575;11
576;11
577;11
578;11
579;11
580;11
581;10
582;10
583;10
584;10
585;11
586;11
587;11
588;11
589;11
590;11
591;12
592;12
593;12
594;12
595;12
596;11
597;11
598;10
599;11
600;11
601;11
602;11
603;11
604;11
605;11
606;12
607;12
608;12
609;11
610;11
611;11
612;12
613;12
614;12
615;11
616;11
617;11
618;9
619;9
620;9
621;9
622;10
623;10
624;10
625;10
626;11
627;11
628;11
629;11
630;11
631;11
632;11
633;11
634;11
635;10
636;10
637;10
638;10
639;10
640;10
641;10
642;10
643;10
644;10
645;10
646;10
647;10
648;11
649;12
650;12
651;10
652;10
653;11
654;11
655;11
656;12
657;12
658;13
659;13
660;13
661;13
662;13
663;13
664;13
665;13
666;14
667;13
668;14
669;14
670;14
671;15
672;13
673;13
674;13
675;13
676;13
677;13
678;13
679;12
680;12
681;12
682;12
683;13
684;13
685;13
686;13
687;13
688;13
689;13
690;14
691;14
692;14
693;14
694;13
695;13
696;13
697;13
698;14
699;13
700;13
701;13
702;13
703;13
704;14
705;14
706;14
707;14
708;13
709;14
710;14
711;13
712;13
713;13
714;13
715;13
716;13
717;14
718;14
719;14
720;13
721;14
722;14
723;14
724;14
725;13
726;13
727;13
728;12
729;12
730;12
731;12
732;12
733;12
734;12
735;12
736;12
737;12
738;12
739;12
740;12
741;10
742;9
743;9
744;10
745;10
746;10
747;10
748;10
749;10
750;10
751;10
752;10
753;10
754;10
755;10
756;10
757;10
758;10
759;10
760;10
761;11
762;11
763;11
764;11
765;11
766;11
767;11
768;11
769;11
770;11
771;11
772;11
773;12
774;12
775;12
776;12
777;12
778;13
779;12
780;12
781;12
782;12
783;12
784;12
785;11
786;11
787;11
788;11
789;11
790;11
791;11
792;11
793;11
794;11
795;12
796;13
797;13
798;13
799;13
800;15
801;15
802;15
803;15
804;15
805;15
806;15
807;15
808;15
809;14
810;14
811;15
