gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;1
141;1
142;1
143;1
144;1
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;1
160;1
161;1
162;1
163;1
164;1
165;1
166;1
167;1
168;1
169;1
170;1
171;1
172;1
173;1
174;1
175;1
176;1
177;1
178;1
179;1
180;1
181;1
182;1
183;1
184;1
185;1
186;1
187;1
188;1
189;1
190;1
191;1
192;1
193;1
194;1
195;2
196;2
197;2
198;2
199;2
200;2
201;2
202;2
203;2
204;2
205;2
206;2
207;3
208;3
209;3
210;3
211;3
212;3
213;3
214;4
215;4
216;4
217;4
218;4
219;4
220;4
221;4
222;4
223;4
224;4
225;4
226;4
227;4
228;4
229;4
230;4
231;4
232;5
233;5
234;5
235;5
236;5
237;4
238;4
239;5
240;5
241;5
242;5
243;5
244;5
245;4
246;4
247;4
248;4
249;4
250;3
251;3
252;5
253;5
254;4
255;5
256;6
257;6
258;6
259;6
260;6
261;6
262;6
263;6
264;5
265;5
266;7
267;7
268;6
269;6
270;6
271;6
272;5
273;6
274;5
275;5
276;6
277;7
278;7
279;7
280;7
281;8
282;8
283;8
284;8
285;8
286;8
287;8
288;8
289;8
290;8
291;9
292;9
293;10
294;10
295;9
296;9
297;9
298;10
299;11
300;11
301;11
302;11
303;11
304;11
305;11
306;11
307;11
308;11
309;12
310;12
311;12
312;12
313;11
314;11
315;11
316;11
317;11
318;11
319;11
320;11
321;11
322;11
323;11
324;11
325;11
326;11
327;11
328;11
329;11
330;11
331;11
332;11
333;11
334;10
335;11
336;11
337;11
338;12
339;12
340;12
341;12
342;11
343;11
344;11
345;10
346;10
347;10
348;11
349;11
350;11
351;11
352;11
353;11
354;11
355;11
356;11
357;11
358;11
359;11
360;11
361;11
362;12
363;13
364;13
365;13
366;13
367;12
368;13
369;13
370;13
371;13
372;13
373;13
374;13
375;13
376;13
377;13
378;13
379;13
380;13
381;13
382;13
383;13
384;14
385;14
386;15
387;15
388;15
389;16
390;17
391;17
392;17
393;17
394;16
395;16
396;16
397;16
398;17
399;17
400;19
401;19
402;19
403;19
404;20
405;19
406;18
407;22
408;22
409;22
410;22
411;22
412;22
413;22
414;22
415;22
416;22
417;22
418;23
419;23
420;23
421;23
422;23
423;23
424;25
425;24
426;23
427;24
428;23
429;22
430;23
431;23
432;23
433;25
434;24
435;24
436;25
437;25
438;24
439;24
440;25
441;25
442;26
443;25
444;25
445;25
446;25
447;25
448;25
449;25
450;25
451;25
452;25
453;25
454;24
455;24
456;24
457;24
458;25
459;25
460;25
461;26
462;26
463;26
464;26
465;27
466;27
467;27
468;27
469;27
470;27
471;27
472;27
473;27
474;26
475;28
476;28
477;27
478;27
479;26
480;26
481;26
482;26
483;26
484;26
485;25
486;26
487;26
488;27
489;27
490;27
491;26
492;27
493;27
494;28
495;28
496;28
497;28
498;28
499;28
500;28
501;27
502;28
503;29
504;28
505;29
506;28
507;28
508;29
509;29
510;29
511;29
512;29
513;29
514;29
515;29
516;29
517;29
518;29
519;28
520;28
521;28
522;28
523;28
524;28
525;29
526;29
527;29
528;31
529;31
530;32
531;33
532;33
533;34
534;34
535;34
536;34
537;34
538;34
539;34
540;33
541;34
542;34
543;34
544;35
545;35
546;36
547;36
548;36
549;36
550;37
551;37
552;37
553;37
554;37
555;37
556;37
557;37
558;37
559;38
560;36
561;36
562;35
563;36
564;36
565;36
566;36
567;37
568;37
569;37
570;36
571;37
572;37
573;37
574;37
575;37
576;37
577;38
578;38
579;39
580;40
581;40
582;40
583;39
584;39
585;39
586;39
587;39
588;39
589;39
590;40
591;40
592;39
593;39
594;39
595;39
596;39
597;39
598;39
599;39
600;39
601;40
602;40
603;40
604;40
605;40
606;40
607;40
608;39
609;39
610;39
611;40
612;40
613;40
614;40
615;40
616;40
617;40
618;41
619;40
620;40
621;40
622;40
623;40
624;40
625;41
626;41
627;41
628;41
629;42
630;42
631;42
632;42
633;42
634;42
635;42
636;42
637;42
638;42
639;42
640;42
641;42
642;42
643;42
644;42
645;42
646;42
647;42
648;42
649;42
650;42
651;42
652;42
653;42
654;43
655;43
656;43
657;43
658;43
659;42
660;42
661;43
662;42
663;42
664;42
665;42
666;41
667;43
668;43
669;44
670;43
671;43
672;44
673;43
674;44
675;44
676;44
677;45
678;45
679;45
680;45
681;46
682;46
683;46
684;46
685;47
686;45
687;45
688;45
689;45
690;45
691;45
692;45
693;45
694;45
695;45
696;46
697;46
698;46
699;45
700;45
701;45
702;45
703;45
704;46
705;47
706;47
707;47
708;47
709;47
710;47
711;46
712;46
713;47
714;47
715;47
716;48
717;48
718;48
719;48
720;48
721;51
722;52
723;54
724;54
725;55
726;54
727;53
728;54
729;54
730;54
731;54
732;55
733;55
734;55
735;55
736;53
737;53
738;53
739;53
740;52
741;52
742;52
743;52
744;54
745;51
746;52
747;52
748;53
749;54
750;55
751;55
752;54
753;54
754;54
755;54
756;54
757;56
758;56
759;56
760;56
761;57
762;57
763;57
764;57
765;57
766;57
767;57
768;57
769;57
770;57
771;56
772;56
773;57
774;57
775;57
776;57
777;56
778;56
779;56
780;56
781;56
782;54
783;54
784;54
785;56
786;56
787;56
788;56
789;56
790;56
791;56
792;56
793;55
794;55
795;55
796;55
797;55
798;55
799;56
800;56
801;57
802;57
803;56
804;56
805;57
806;58
807;58
808;58
809;58
810;57
811;57
